"","qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"74","vapb2","NC_002945.4",100,222,0,0,1,222,364873,365094,1.57e-115,411
"75","vapc2","NC_002945.4",100,426,0,0,1,426,365091,365516,0,787
"76","group_2548","NC_002945.4",100,483,0,0,1,483,378085,377603,0,893
"77","group_2637","NC_002945.4",100,717,0,0,1,717,378143,378859,0,1325
"78","group_312","NC_002945.4",100,657,0,0,1,657,378961,379617,0,1214
"79","group_789","NC_002945.4",100,1863,0,0,1,1863,381586,383448,0,3441
"80","group_759","NC_002945.4",100,387,0,0,1,387,383520,383906,0,715
"81","group_611","NC_002945.4",100,615,0,0,1,615,385565,386179,0,1136
"82","group_194","NC_002945.4",100,669,0,0,1,669,388178,388846,0,1236
"83","group_1281","NC_002945.4",100,573,0,0,1,573,389612,390184,0,1059
"84","group_101","NC_002945.4",100,681,0,0,1,681,392382,393062,0,1258
"85","group_696","NC_002945.4",100,603,0,0,1,603,395141,395743,0,1114
"86","group_566","NC_002945.4",100,627,0,0,1,627,396350,395724,0,1158
"87","group_2469","NC_002945.4",100,741,0,0,1,741,397117,396377,0,1369
"88","group_2016","NC_002945.4",100,786,0,0,1,786,398472,399257,0,1452
"89","group_222","NC_002945.4",100,435,0,0,1,435,399224,399658,0,804
"90","rmlA","NC_002945.4",100,867,0,0,1,867,399688,400554,0,1602
"91","group_2591","NC_002945.4",100,477,0,0,1,477,609686,609210,0,881
"92","group_2851","NC_002945.4",100,696,0,0,1,696,611339,612034,0,1286
"93","group_596","NC_002945.4",100,117,0,0,1,117,612201,612085,1.77e-57,217
"94","group_1184","NC_002945.4",100,579,0,0,1,579,678946,678368,0,1070
"95","vapb26","NC_002945.4",100,216,0,0,1,216,678953,679168,3.29e-112,399
"96","mce2r","NC_002945.4",100,723,0,0,1,723,685653,686375,0,1336
"97","group_787","NC_002945.4",100,174,0,0,1,174,698265,698438,5.79e-89,322
"98","vapc27","NC_002945.4",99.758,414,1,0,1,414,698812,698399,0,760
"99","group_1883","NC_002945.4",100,531,0,0,1,531,700299,699769,0,981
"100","group_2669","NC_002945.4",100,471,0,0,1,471,703974,704444,0,870
"101","vapb28","NC_002945.4",100,246,0,0,1,246,704489,704734,7.99e-129,455
"102","vapc28","NC_002945.4",100,402,0,0,1,402,704731,705132,0,743
"103","group_1937","NC_002945.4",100,222,0,0,1,222,707427,707206,1.57e-115,411
"104","group_1701","NC_002945.4",100,549,0,0,1,549,707626,708174,0,1014
"105","group_2386","NC_002945.4",100,750,0,0,1,750,710844,711593,0,1386
"106","group_2386","NC_002945.4",95.385,65,3,0,1,65,712883,712947,1.08e-22,104
"107","vapB29","NC_002945.4",100,228,0,0,1,228,712027,712254,7.46e-119,422
"108","vapc29","NC_002945.4",99.751,402,1,0,1,402,712251,712652,0,737
"109","vapb30","NC_002945.4",100,255,0,0,1,255,717656,717910,8.26e-134,472
"110","vapc30","NC_002945.4",100,396,0,0,1,396,717910,718305,0,732
"111","vapb5","NC_002945.4",100,261,0,0,1,261,719271,719531,3.91e-137,483
"112","vapc5","NC_002945.4",100,408,0,0,1,408,719528,719935,0,754
"113","group_2852","NC_002945.4",100,696,0,0,1,696,730523,729828,0,1286
"114","group_1565","NC_002945.4",98.955,861,0,1,1,861,731423,730572,0,1531
"115","group_2665","NC_002945.4",100,714,0,0,1,714,732269,731556,0,1319
"116","group_2289","NC_002945.4",100,213,0,0,1,213,732388,732600,1.51e-110,394
"117","rpmG2","NC_002945.4",100,168,0,0,1,168,732948,733115,1.2e-85,311
"118","hadA_1","NC_002945.4",100,477,0,0,1,477,733166,733642,0,881
"119","hadB","NC_002945.4",100,429,0,0,1,429,733629,734057,0,793
"120","hadC","NC_002945.4",100,501,0,0,1,501,734061,734561,0,926
"121","group_2511","NC_002945.4",100,486,0,0,1,486,734973,735458,0,898
"122","group_1912","NC_002945.4",100,717,0,0,1,717,735490,736206,0,1325
"123","rplA","NC_002945.4",100,708,0,0,1,708,736753,737460,0,1308
"124","group_1343","NC_002945.4",100,882,0,0,1,882,739385,738504,0,1629
"125","group_1343","NC_002945.4",75.65,846,192,13,44,882,740371,739533,2.41e-114,409
"126","group_1343","NC_002945.4",72.727,836,210,17,50,877,3765156,3764331,5.53e-71,265
"127","group_1051","NC_002945.4",100,921,0,0,1,921,740453,739533,0,1701
"128","group_1051","NC_002945.4",84.964,419,59,4,73,489,562715,562299,3.24e-118,422
"129","group_1051","NC_002945.4",75.723,865,190,16,65,919,3765180,3764326,1.51e-116,416
"130","group_1051","NC_002945.4",75.679,847,190,15,83,921,739342,738504,2.52e-114,409
"131","group_1558","NC_002945.4",100,861,0,0,1,861,741423,740563,0,1591
"132","group_1139","NC_002945.4",100,906,0,0,1,906,742375,741470,0,1674
"133","rplJ","NC_002945.4",100,537,0,0,1,537,750045,750581,0,992
"134","rplL","NC_002945.4",100,393,0,0,1,393,750618,751010,0,726
"135","group_2853","NC_002945.4",100,696,0,0,1,696,751698,751003,0,1286
"136","group_1707","NC_002945.4",100,1506,0,0,1,1506,751769,753274,0,2782
"137","group_555","NC_002945.4",100,1011,0,0,1,1011,753355,754365,0,1868
"138","vapc6","NC_002945.4",100,252,0,0,1,252,755004,754753,3.79e-132,466
"139","vapb6","NC_002945.4",100,156,0,0,1,156,755386,755231,5.19e-79,289
"140","vapC","NC_002945.4",99.32,441,0,1,1,441,757541,757104,0,795
"141","vapb7","NC_002945.4",100,255,0,0,1,255,757792,757538,8.26e-134,472
"142","vapb8","NC_002945.4",100,273,0,0,1,273,760301,760573,8.77e-144,505
"143","vapc8","NC_002945.4",100,339,0,0,1,339,760570,760908,2.26e-180,627
"144","group_181","NC_002945.4",100,3537,0,0,1,3537,761558,765094,0,6532
"145","group_135","NC_002945.4",100,3951,0,0,1,3951,765139,769089,0,7297
"146","group_2279","NC_002945.4",100,759,0,0,1,759,771561,772319,0,1402
"147","group_1346","NC_002945.4",100,1629,0,0,1,1629,773253,774881,0,3009
"148","group_835","NC_002945.4",100,939,0,0,1,939,774892,775830,0,1735
"149","group_2586","NC_002945.4",100,723,0,0,1,723,775833,776555,0,1336
"150","group_1966","NC_002945.4",100,792,0,0,1,792,776552,777343,0,1463
"151","group_327","NC_002945.4",100,429,0,0,1,429,780674,780246,0,793
"152","mmpR5","NC_002945.4",100,498,0,0,1,498,780759,781256,0,920
"153","group_358","NC_002945.4",100,498,0,0,1,498,781809,781312,0,920
"154","group_1118","NC_002945.4",100,375,0,0,1,375,782185,781811,0,693
"155","group_318","NC_002945.4",100,657,0,0,1,657,782424,783080,0,1214
"156","rpsL","NC_002945.4",100,375,0,0,1,375,783329,783703,0,693
"157","rpsG","NC_002945.4",100,471,0,0,1,471,783703,784173,0,870
"158","group_594","NC_002945.4",100,2106,0,0,1,2106,784254,786359,0,3890
"159","tuf","NC_002945.4",100,1191,0,0,1,1191,786590,787780,0,2200
"160","group_1929","NC_002945.4",100,798,0,0,1,798,787918,788715,0,1474
"161","group_892","NC_002945.4",100,249,0,0,1,249,790941,791189,1.74e-130,460
"162","group_411","NC_002945.4",99.905,1050,1,0,1,1050,792842,791793,0,1934
"163","group_1998","NC_002945.4",100,330,0,0,1,330,793600,793929,2.21e-175,610
"164","group_2792","NC_002945.4",100,1176,0,0,1,1176,793926,795101,0,2172
"165","group_2717","NC_002945.4",100,1191,0,0,1,1191,795104,796294,0,2200
"166","group_1882","NC_002945.4",100,1413,0,0,1,1413,797288,798700,0,2610
"167","group_2048","NC_002945.4",100,1359,0,0,1,1359,798783,800141,0,2510
"168","group_2319","NC_002945.4",100,756,0,0,1,756,801032,801787,0,1397
"169","group_2550","NC_002945.4",100,306,0,0,1,306,802255,802560,4.48e-162,566
"170","rplC","NC_002945.4",100,654,0,0,1,654,802577,803230,0,1208
"171","rplD","NC_002945.4",100,672,0,0,1,672,803230,803901,0,1242
"172","rplW","NC_002945.4",100,303,0,0,1,303,803901,804203,2.06e-160,560
"173","rplB","NC_002945.4",99.881,843,1,0,1,843,804350,805192,0,1552
"174","rpsS","NC_002945.4",100,282,0,0,1,282,805233,805514,9.01e-149,521
"175","rpsC","NC_002945.4",100,825,0,0,1,825,806104,806928,0,1524
"176","rplP","NC_002945.4",100,417,0,0,1,417,806932,807348,0,771
"177","rpmC","NC_002945.4",100,234,0,0,1,234,807348,807581,3.55e-122,433
"178","rpsQ","NC_002945.4",100,408,0,0,1,408,807581,807988,0,754
"179","group_1193","NC_002945.4",100,900,0,0,1,900,810568,811467,0,1663
"180","rplN","NC_002945.4",100,369,0,0,1,369,813195,813563,0,682
"181","rplX","NC_002945.4",100,318,0,0,1,318,813564,813881,9.97e-169,588
"182","rplE","NC_002945.4",100,564,0,0,1,564,813881,814444,0,1042
"183","rpsN1","NC_002945.4",100,186,0,0,1,186,814449,814634,1.33e-95,344
"184","rpsH","NC_002945.4",100,399,0,0,1,399,814798,815196,0,737
"185","rplF","NC_002945.4",100,540,0,0,1,540,815220,815759,0,998
"186","rpsE","NC_002945.4",100,663,0,0,1,663,816150,816812,0,1225
"187","rpmD","NC_002945.4",100,198,0,0,1,198,816815,817012,3.03e-102,366
"188","rplO","NC_002945.4",100,441,0,0,1,441,817012,817452,0,815
"189","group_1140","NC_002945.4",100,906,0,0,1,906,820266,819361,0,1674
"190","group_2186","NC_002945.4",100,1326,0,0,1,1326,826622,827947,0,2449
"191","adk","NC_002945.4",99.817,546,1,0,1,546,827944,828489,0,1003
"192","mapA","NC_002945.4",100,801,0,0,1,801,828492,829292,0,1480
"193","group_1337","NC_002945.4",100,570,0,0,1,570,830957,831526,0,1053
"194","group_1820","NC_002945.4",100,537,0,0,1,537,831896,832432,0,992
"195","group_2344","NC_002945.4",100,315,0,0,1,315,834358,834672,4.59e-167,582
"196","group_2344","NC_002945.4",85.079,315,47,0,1,315,1470941,1470627,1.11e-88,322
"197","group_2344","NC_002945.4",85.079,315,47,0,1,315,4194709,4195023,1.11e-88,322
"198","group_1580","NC_002945.4",100,558,0,0,1,558,836267,835710,0,1031
"199","group_2097","NC_002945.4",100,147,0,0,1,147,837029,836883,4.88e-74,272
"200","group_2097","NC_002945.4",84.722,144,21,1,1,144,832588,832446,3.99e-35,143
"201","group_1028","NC_002945.4",100,171,0,0,1,171,852702,852532,2.64e-87,316
"202","group_1806","NC_002945.4",100,1458,0,0,1,1458,854586,856043,0,2693
"203","group_422","NC_002945.4",100,420,0,0,1,420,856875,856456,0,776
"204","adhB","NC_002945.4",100,1128,0,0,1,1128,858015,856888,0,2084
"205","group_1746","NC_002945.4",100,546,0,0,1,546,858659,858114,0,1009
"206","group_1779","NC_002945.4",100,828,0,0,1,828,861053,860226,0,1530
"207","group_441","NC_002945.4",100,642,0,0,1,642,862899,862258,0,1186
"208","group_2410","NC_002945.4",100,747,0,0,1,747,864601,865347,0,1380
"209","group_2411","NC_002945.4",100,1269,0,0,1,1269,866775,868043,0,2344
"210","group_1474","NC_002945.4",100,1584,0,0,1,1584,869623,868040,0,2926
"211","group_1872","NC_002945.4",100,1419,0,0,1,1419,872197,873615,0,2621
"212","group_1231","NC_002945.4",100,894,0,0,1,894,875532,876425,0,1652
"213","group_1551","NC_002945.4",100,162,0,0,1,162,878694,878533,2.5e-82,300
"214","group_1358","NC_002945.4",99.938,1623,1,0,1,1623,880631,879009,0,2992
"215","group_54","NC_002945.4",100,687,0,0,1,687,880829,881515,0,1269
"216","purS","NC_002945.4",100,240,0,0,1,240,884714,884953,1.68e-125,444
"217","group_141","NC_002945.4",100,675,0,0,1,675,884950,885624,0,1247
"218","group_2624","NC_002945.4",100,474,0,0,1,474,886114,885641,0,876
"219","group_2143","NC_002945.4",100,324,0,0,1,324,1160893,1160570,4.7e-172,599
"220","group_2143","NC_002945.4",86.378,323,42,2,2,323,3756729,3757050,1.45e-97,351
"221","group_2438","NC_002945.4",100,492,0,0,1,492,1159884,1159393,0,909
"222","group_2133","NC_002945.4",100,774,0,0,1,774,1159211,1158438,0,1430
"223","group_1632","NC_002945.4",100,1530,0,0,1,1530,1158430,1156901,0,2826
"224","kdpC","NC_002945.4",100,570,0,0,1,570,1156328,1156897,0,1053
"225","group_2098","NC_002945.4",100,147,0,0,1,147,1152252,1152398,4.88e-74,272
"226","group_420","NC_002945.4",100,2583,0,0,1,2583,1152161,1149579,0,4771
"227","group_1502","NC_002945.4",100,93,0,0,1,93,1148555,1148647,2.93e-44,172
"228","ppx2","NC_002945.4",100,960,0,0,1,960,1147494,1148453,0,1773
"229","group_2441","NC_002945.4",100,492,0,0,1,492,1147012,1147503,0,909
"230","group_416","NC_002945.4",100,687,0,0,1,687,1146333,1147019,0,1269
"231","group_2331","NC_002945.4",100,1290,0,0,1,1290,1145039,1146328,0,2383
"232","group_156","NC_002945.4",99.973,3705,1,0,1,3705,1139442,1143146,0,6837
"233","glmU","NC_002945.4",99.866,1488,2,0,1,1488,1138535,1137048,0,2737
"234","prsA","NC_002945.4",100,981,0,0,1,981,1136956,1135976,0,1812
"235","rplY","NC_002945.4",100,648,0,0,1,648,1135048,1134401,0,1197
"236","group_1232","NC_002945.4",100,576,0,0,1,576,1134388,1133813,0,1064
"237","group_1321","NC_002945.4",100,1635,0,0,1,1635,1132105,1133739,0,3020
"238","ispE","NC_002945.4",100,957,0,0,1,957,1130634,1131590,0,1768
"239","ksgA","NC_002945.4",100,954,0,0,1,954,1129631,1130584,0,1762
"240","rpfB","NC_002945.4",100,1089,0,0,1,1089,1128570,1129658,0,2012
"241","metS","NC_002945.4",100,1560,0,0,1,1560,1127482,1125923,0,2881
"242","group_2280","NC_002945.4",100,759,0,0,1,759,1116246,1117004,0,1402
"243","group_2433","NC_002945.4",100,210,0,0,1,210,1114861,1114652,6.91e-109,388
"244","group_729","NC_002945.4",100,252,0,0,1,252,1114340,1114591,3.79e-132,466
"245","group_294","NC_002945.4",99.907,1077,1,0,1,1077,1112863,1113939,0,1984
"246","group_625","NC_002945.4",100,612,0,0,1,612,1112091,1112702,0,1131
"247","galU","NC_002945.4",100,921,0,0,1,921,1109751,1110671,0,1701
"248","group_1744","NC_002945.4",100,546,0,0,1,546,1100939,1101484,0,1009
"249","pepd","NC_002945.4",100,1395,0,0,1,1395,1099545,1100939,0,2577
"250","group_583","NC_002945.4",100,999,0,0,1,999,1062121,1061123,0,1845
"251","uvrD1","NC_002945.4",100,2316,0,0,1,2316,1058727,1061042,0,4277
"252","group_371","NC_002945.4",100,273,0,0,1,273,1058385,1058113,8.77e-144,505
"253","group_1239","NC_002945.4",100,1662,0,0,1,1662,1057152,1055491,0,3070
"254","group_2253","NC_002945.4",99.869,762,1,0,1,762,1054714,1055475,0,1402
"255","group_2592","NC_002945.4",100,477,0,0,1,477,1054232,1054708,0,881
"256","group_2224","NC_002945.4",100,765,0,0,1,765,1052775,1052011,0,1413
"257","group_1496","NC_002945.4",100,867,0,0,1,867,1051926,1051060,0,1602
"258","ligd","NC_002945.4",99.956,2280,1,0,1,2280,1046603,1048882,0,4205
"259","mku","NC_002945.4",100,822,0,0,1,822,1046487,1045666,0,1519
"260","group_1143","NC_002945.4",100,906,0,0,1,906,1044784,1045689,0,1674
"261","pstBa","NC_002945.4",100,216,0,0,1,216,1041730,1041945,3.29e-112,399
"262","group_626","NC_002945.4",100,975,0,0,1,975,1036493,1037467,0,1801
"263","ord_1","NC_002945.4",100,1077,0,0,1,1077,1034251,1033175,0,1989
"264","rosB","NC_002945.4",99.864,738,0,1,1,738,1033098,1032362,0,1356
"265","mntH","NC_002945.4",100,1287,0,0,1,1287,1032330,1031044,0,2377
"266","group_2861","NC_002945.4",100,456,0,0,1,456,1024698,1025153,0,843
"267","group_605","NC_002945.4",100,258,0,0,1,258,1024331,1024588,1.8e-135,477
"268","group_982","NC_002945.4",100,1782,0,0,1,1782,1022553,1024334,0,3291
"269","PE7","NC_002945.4",100,300,0,0,1,300,1022109,1021810,9.5e-159,555
"270","group_1709","NC_002945.4",100,231,0,0,1,231,1017516,1017286,1.63e-120,427
"271","group_2625","NC_002945.4",100,474,0,0,1,474,1016678,1017151,0,876
"272","group_2132","NC_002945.4",100,774,0,0,1,774,1015864,1016637,0,1430
"273","group_223","NC_002945.4",100,435,0,0,1,435,1015332,1015766,0,804
"274","group_588","NC_002945.4",100,180,0,0,1,180,1015147,1015326,2.78e-92,333
"275","group_1676","NC_002945.4",100,159,0,0,1,159,1014863,1015021,1.14e-80,294
"276","group_497","NC_002945.4",100,2394,0,0,1,2394,1012197,1014590,0,4421
"277","group_497","NC_002945.4",96.875,32,1,0,1590,1621,2225395,2225426,3.59e-07,54.7
"278","group_2542","NC_002945.4",100,732,0,0,1,732,1008672,1009403,0,1352
"279","group_1757","NC_002945.4",100,1488,0,0,1,1488,1008645,1007158,0,2748
"280","group_2709","NC_002945.4",100,711,0,0,1,711,1007027,1006317,0,1314
"281","group_1889","NC_002945.4",100,1410,0,0,1,1410,1006375,1004966,0,2604
"282","group_1864","NC_002945.4",100,153,0,0,1,153,1004270,1004422,2.36e-77,283
"283","group_548","NC_002945.4",100,264,0,0,1,264,1003169,1002906,8.51e-139,488
"284","group_617","NC_002945.4",100,978,0,0,1,978,996760,995783,0,1807
"285","group_2273","NC_002945.4",100,318,0,0,1,318,993900,994217,9.97e-169,588
"286","group_96","NC_002945.4",100,1131,0,0,1,1131,983019,981889,0,2089
"287","group_2252","NC_002945.4",100,762,0,0,1,762,981732,980971,0,1408
"288","group_118","NC_002945.4",100,285,0,0,1,285,980690,980974,1.96e-150,527
"289","group_1497","NC_002945.4",100,867,0,0,1,867,979827,980693,0,1602
"290","group_276","NC_002945.4",100,432,0,0,1,432,979399,979830,0,798
"291","group_306","NC_002945.4",100,276,0,0,1,276,979221,978946,1.91e-145,510
"292","group_2474","NC_002945.4",99.796,489,1,0,1,489,974760,974272,0,898
"293","group_666","NC_002945.4",99.744,390,1,0,1,390,968193,967804,0,715
"294","group_110","NC_002945.4",100,195,0,0,1,195,99414,99608,1.39e-100,361
"295","group_906","NC_002945.4",100,594,0,0,1,594,97793,98386,0,1098
"296","group_1787","NC_002945.4",100,1467,0,0,1,1467,93986,95452,0,2710
"297","group_263","NC_002945.4",100,663,0,0,1,663,93324,93986,0,1225
"298","group_2539","NC_002945.4",100,207,0,0,1,207,88039,87833,3.16e-107,383
"299","group_907","NC_002945.4",100,594,0,0,1,594,87836,87243,0,1098
"300","group_2167","NC_002945.4",99.744,390,1,0,1,390,85607,85218,0,715
"301","glyA2","NC_002945.4",100,1278,0,0,1,1278,78923,77646,0,2361
"302","group_1957","NC_002945.4",100,1386,0,0,1,1386,77649,76264,0,2560
"303","group_1109","NC_002945.4",99.89,912,1,0,1,912,75328,76239,0,1679
"304","group_1339","NC_002945.4",100,570,0,0,1,570,75225,74656,0,1053
"305","vapc1","NC_002945.4",100,402,0,0,1,402,71848,72249,0,743
"306","vapB1","NC_002945.4",100,240,0,0,1,240,71616,71855,1.68e-125,444
"307","group_1786","NC_002945.4",100,156,0,0,1,156,68414,68569,5.19e-79,289
"308","group_375","NC_002945.4",100,1059,0,0,1,1059,63899,64957,0,1956
"309","group_413","NC_002945.4",100,2625,0,0,1,2625,60386,63010,0,4848
"310","rplI","NC_002945.4",100,459,0,0,1,459,59399,59857,0,848
"311","rpsR1","NC_002945.4",100,255,0,0,1,255,59112,59366,8.26e-134,472
"312","ssb_1","NC_002945.4",100,495,0,0,1,495,58576,59070,0,915
"313","rpsF","NC_002945.4",100,291,0,0,1,291,58182,58472,9.26e-154,538
"314","group_1773","NC_002945.4",100,543,0,0,1,543,51711,51169,0,1003
"315","ino1","NC_002945.4",100,1104,0,0,1,1104,51108,50005,0,2039
"316","group_567","NC_002945.4",100,627,0,0,1,627,47191,46565,0,1158
"317","group_900","NC_002945.4",100,933,0,0,1,933,43349,42417,0,1724
"318","group_519","NC_002945.4",99.842,633,1,0,1,633,41264,41896,0,1164
"319","group_2235","NC_002945.4",100,1311,0,0,1,1311,41171,39861,0,2422
"320","group_549","NC_002945.4",100,264,0,0,1,264,36591,36854,8.51e-139,488
"321","group_2238","NC_002945.4",100,144,0,0,1,144,31951,31808,2.22e-72,267
"322","group_2278","NC_002945.4",100,318,0,0,1,318,31173,31490,9.97e-169,588
"323","group_1763","NC_002945.4",100,834,0,0,1,834,28343,29176,0,1541
"324","group_1547","NC_002945.4",99.872,1566,2,0,1,1566,25425,23860,0,2881
"325","group_2394","NC_002945.4",100,468,0,0,1,468,23736,23269,0,865
"326","group_2827","NC_002945.4",100,699,0,0,1,699,14913,15611,0,1291
"327","group_2443","NC_002945.4",100,744,0,0,1,744,14133,14876,0,1375
"328","group_166","NC_002945.4",100,282,0,0,1,282,13994,13713,9.01e-149,521
"329","group_1865","NC_002945.4",100,153,0,0,1,153,13176,13024,2.36e-77,283
"330","ppiA","NC_002945.4",100,549,0,0,1,549,12468,13016,0,1014
"331","group_439","NC_002945.4",99.921,2517,2,0,1,2517,7302,9818,0,4638
"332","group_586","NC_002945.4",99.908,2169,2,0,1,2169,5099,7267,0,3995
"333","group_1785","NC_002945.4",100,564,0,0,1,564,4347269,4346706,0,1042
"334","parB","NC_002945.4",99.905,1050,0,1,1,1050,4344863,4343815,0,1932
"335","group_2520","NC_002945.4",100,735,0,0,1,735,4343539,4342805,0,1358
"336","group_2576","NC_002945.4",100,1221,0,0,1,1221,4341564,4342784,0,2255
"337","group_1696","NC_002945.4",100,351,0,0,1,351,4341104,4341454,0,649
"338","group_563","NC_002945.4",99.901,1008,1,0,1,1008,4340100,4341107,0,1857
"339","group_177","NC_002945.4",100,3555,0,0,1,3555,4334970,4338524,0,6565
"340","mutt4","NC_002945.4",100,663,0,0,1,663,4331906,4332568,0,1225
"341","group_2181","NC_002945.4",100,510,0,0,1,510,4329979,4329470,0,942
