"","name","start","end","strand","length","pid","gene","synonym","product","proteinid","feature","gene_type","MbovID","Gene","id","len","extra_id","Mtb_ID","col","fill","lty","lwd","pch","cex"
"17","rodA",20230,21639,-1,469,"P63761","rodA","BQ2027_MB0017C","PROBABLE CELL DIVISION PROTEIN RODA","SIT98362.1","CDS","bars","Mb0017c"," rodA",NA," len 469 aa. ",NA,"Rv0017c","blue","blue",1,1,8,1
"18","pstp",21636,23180,-1,514,"A0A1R3XV75","pstp","BQ2027_MB0018C","phosphoserine/threonine phosphatase pstp","SIT98363.1","CDS","bars","Mb0018c"," ppp",NA," len 514 aa. ",NA,"Rv0018c","blue","blue",1,1,8,1
"19","fhaB",23269,23736,-1,155,"A0A1R3XU87","fhaB","BQ2027_MB0019C","FHA-domain-containing protein","SIT98364.1","CDS","bars","Mb0019c"," -",NA," len 155 aa. ",NA,"Rv0019c","blue","blue",1,1,8,1
"20","fhaA",23860,25425,-1,521,"A0A1R3XUP2","fhaA","BQ2027_MB0020C","FIG00824290 FHA domain protein","SIT98365.1","CDS","bars","Mb0020c"," TB39.8",NA," len 521 aa. ",NA,"Rv0020c","blue","blue",1,1,8,1
"21","BQ2027_MB0021C",25894,26862,-1,322,"A0A1R3XU19","-","BQ2027_MB0021C","putative oxidoreductase, nitronate monooxygenase family","SIT98366.1","CDS","bars","Mb0021c"," -",NA," len 322 aa. ",NA,"Rv0021c","blue","blue",1,1,8,1
"22","whiB5",27004,27423,-1,139,"A0A1R3XU30","whiB5","BQ2027_MB0022C","probable transcriptional regulatory protein whib-like whib5","SIT98368.1","CDS","bars","Mb0022c"," whiB5",NA," len 139 aa. ",NA,"Rv0022c","blue","blue",1,1,8,1
"23","BQ2027_MB0023",27576,28346,1,256,"P67705","-","BQ2027_MB0023","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN","SIT98371.1","CDS","bars","Mb0023"," -",NA," len 256 aa. ",NA,"Rv0023","blue","blue",1,1,8,1
"24","BQ2027_MB0024",28343,29176,1,277,"A0A1R3XU42","-","BQ2027_MB0024","PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART]","SIT98373.1","CDS","bars","Mb0024"," -",NA," len 277 aa. ",NA,"Rv0024","blue","blue",1,1,8,1
"25","BQ2027_MB0025",28918,29187,1,89,"NA","-","BQ2027_MB0025","NA","NA","CDS_pseudo","bars","Mb0025"," -",NA," len 89 aa. ",NA,"Rv0024","blue","blue",1,1,8,1
"26","BQ2027_MB0026",29225,29587,1,120,"A0A1R3XU54","-","BQ2027_MB0026","CONSERVED HYPOTHETICAL PROTEIN","SIT98375.1","CDS","bars","Mb0026"," -",NA," len 120 aa. ",NA,"Rv0025","blue","blue",1,1,8,1
"27","BQ2027_MB0027",29702,31135,1,477,"A0A1R3XU28","-","BQ2027_MB0027","CONSERVED HYPOTHETICAL PROTEIN","SIT98377.1","CDS","bars","Mb0027"," -",NA," len 477 aa. ",NA,"Rv0026","blue","blue",1,1,8,1
"28","BQ2027_MB0028",31173,31490,1,105,"P64668","-","BQ2027_MB0028","conserved hypothetical protein","SIT98378.1","CDS","bars","Mb0028"," -",NA," len 105 aa. ",NA,"Rv0027","blue","blue",1,1,8,1
"29","BQ2027_MB0029",31498,31803,1,101,"P64670","-","BQ2027_MB0029","conserved hypothetical protein","SIT98380.1","CDS","bars","Mb0029"," -",NA," len 101 aa. ",NA,"Rv0028","blue","blue",1,1,8,1
"30","BQ2027_MB0030",32041,33138,1,365,"A0A1R3XU96","-","BQ2027_MB0030","Vegetative cell wall protein gp1 precursor","SIT98382.1","CDS","bars","Mb0030"," -",NA," len 365 aa. ",NA,"Rv0029","blue","blue",1,1,8,1
"31","BQ2027_MB0031",33208,33537,1,109,"P64672","-","BQ2027_MB0031","conserved hypothetical protein","SIT98384.1","CDS","bars","Mb0031"," -",NA," len 109 aa. ",NA,"Rv0030","blue","blue",1,1,8,1
"32","BQ2027_MB0032",33566,33778,1,70,"A0A1R3XU29","-","BQ2027_MB0032","possible remnant of a transposase","SIT98386.1","CDS","bars","Mb0032"," -",NA," len 70 aa. ",NA,"Rv0031","blue","blue",1,1,8,1
"33","bioF2",34279,36594,1,771,"A0A1R3XU34","bioF2","BQ2027_MB0033","POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)","SIT98388.1","CDS","bars","Mb0033"," bioF2",NA," len 771 aa. ",NA,"Rv0032","blue","blue",1,1,8,1
"34","acpA",36591,36854,1,87,"A0A1R3XU46","acpA","BQ2027_MB0034","PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)","SIT98390.1","CDS","bars","Mb0034"," acpA",NA," len 87 aa. ",NA,"Rv0033","blue","blue",1,1,8,1
"35","BQ2027_MB0035",36851,37246,1,131,"P64674","-","BQ2027_MB0035","Ketosteroid isomerase-related protein","SIT98392.1","CDS","bars","Mb0035"," -",NA," len 131 aa. ",NA,"Rv0034","blue","blue",1,1,8,1
"36","fadD34",37243,38931,1,562,"A0A1R3XU59","fadD34","BQ2027_MB0036","PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)","SIT98393.1","CDS","bars","Mb0036"," fadD34",NA," len 562 aa. ",NA,"Rv0035","blue","blue",1,1,8,1
"37","BQ2027_MB0037C",39040,39813,-1,257,"P64676","-","BQ2027_MB0037C","conserved protein","SIT98395.1","CDS","bars","Mb0037c"," -",NA," len 257 aa. ",NA,"Rv0036c","blue","blue",1,1,8,1
"38","BQ2027_MB0038C",39861,41186,-1,441,"P0A5C2","-","BQ2027_MB0038C","PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN","SIT98398.1","CDS","bars","Mb0038c"," -",NA," len 441 aa. ",NA,"Rv0037c","blue","blue",1,1,8,1
"39","BQ2027_MB0039",41288,41896,1,202,"P67758","-","BQ2027_MB0039","UPF0301 protein YqgE","SIT98399.1","CDS","bars","Mb0039"," -",NA," len 202 aa. ",NA,"Rv0038","blue","blue",1,1,8,1
"40","BQ2027_MB0040C",41988,42335,-1,115,"A0A1R3XUB4","-","BQ2027_MB0040C","POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN","SIT98400.1","CDS","bars","Mb0040c"," -",NA," len 115 aa. ",NA,"Rv0039c","blue","blue",1,1,8,1
"41","mtc28",42417,43349,-1,310,"P0A5Q7","mtc28","BQ2027_MB0041C","SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)","SIT98401.1","CDS","bars","Mb0041c"," mtc28",NA," len 310 aa. ",NA,"Rv0040c","blue","blue",1,1,8,1
"42","leuS",43546,46455,1,969,"P67511","leuS","BQ2027_MB0042","PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS)","SIT98402.1","CDS","bars","Mb0042"," leuS",NA," len 969 aa. ",NA,"Rv0041","blue","blue",1,1,8,1
"43","BQ2027_MB0043C",46565,47191,-1,208,"A0A1R3XU39","-","BQ2027_MB0043C","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)","SIT98403.1","CDS","bars","Mb0043c"," -",NA," len 208 aa. ",NA,"Rv0042c","blue","blue",1,1,8,1
"44","BQ2027_MB0044C",47350,48084,-1,244,"P67738","-","BQ2027_MB0044C","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)","SIT98404.1","CDS","bars","Mb0044c"," -",NA," len 244 aa. ",NA,"Rv0043c","blue","blue",1,1,8,1
"45","BQ2027_MB0045C",48217,49011,-1,264,"A0A1R3XU55","-","BQ2027_MB0045C","POSSIBLE OXIDOREDUCTASE","SIT98405.1","CDS","bars","Mb0045c"," -",NA," len 264 aa. ",NA,"Rv0044c","blue","blue",1,1,8,1
"46","BQ2027_MB0046C",49027,49923,-1,298,"A0A1R3XU63","-","BQ2027_MB0046C","POSSIBLE HYDROLASE","SIT98406.1","CDS","bars","Mb0046c"," -",NA," len 298 aa. ",NA,"Rv0045c","blue","blue",1,1,8,1
"47","ino1",50005,51108,-1,367,"P59967","ino1","BQ2027_MB0047C","MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase)","SIT98407.1","CDS","bars","Mb0047c"," ino1",NA," len 367 aa. ",NA,"Rv0046c","blue","blue",1,1,8,1
"48","BQ2027_MB0048C",51169,51711,-1,180,"A0A1R3XWC5","-","BQ2027_MB0048C","Transcriptional regulator, PadR family","SIT98408.1","CDS","bars","Mb0048c"," -",NA," len 180 aa. ",NA,"Rv0047c","blue","blue",1,1,8,1
"49","BQ2027_MB0049C",51812,52681,-1,289,"A0A1R3XVA5","-","BQ2027_MB0049C","POSSIBLE MEMBRANE PROTEIN","SIT98410.1","CDS","bars","Mb0049c"," -",NA," len 289 aa. ",NA,"Rv0048c","blue","blue",1,1,8,1
"50","BQ2027_MB0050",52815,53228,1,137,"P64678","-","BQ2027_MB0050","CONSERVED HYPOTHETICAL PROTEIN","SIT98412.1","CDS","bars","Mb0050"," -",NA," len 137 aa. ",NA,"Rv0049","blue","blue",1,1,8,1
"51","ponA1",53221,55689,1,822,"A0A1R3XUS2","ponA1","BQ2027_MB0051","PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1) PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)","SIT98414.1","CDS","bars","Mb0051"," ponA1",NA," len 680 aa. ",NA,"Rv0050","blue","blue",1,1,8,1
"52","BQ2027_MB0052",55686,57368,1,560,"A0A1R3XU43","-","BQ2027_MB0052","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN","SIT98416.1","CDS","bars","Mb0052"," -",NA," len 560 aa. ",NA,"Rv0051","blue","blue",1,1,8,1
"53","BQ2027_MB0053",57400,57963,1,187,"A0A1R3XU47","-","BQ2027_MB0053","Intracellular protease","SIT98418.1","CDS","bars","Mb0053"," -",NA," len 187 aa. ",NA,"Rv0052","blue","blue",1,1,8,1
"54","rpsF",58182,58472,1,96,"P66592","rpsF","BQ2027_MB0054","30s ribosomal protein s6 rpsf","SIT98421.1","CDS","bars","Mb0054"," rpsF",NA," len 96 aa. ",NA,"Rv0053","blue","blue",1,1,8,1
"55","ssb",58576,59070,1,164,"P0A611","ssb","BQ2027_MB0055","single-strand binding protein ssb (helix-destabilizing protein)","SIT98423.1","CDS","bars","Mb0055"," ssb",NA," len 164 aa. ",NA,"Rv0054","blue","blue",1,1,8,1
"56","rpsR1",59112,59366,1,84,"P69231","rpsR1","BQ2027_MB0056","30s ribosomal protein s18-1 rpsr1","SIT98425.1","CDS","bars","Mb0056"," rpsR1",NA," len 84 aa. ",NA,"Rv0055","blue","blue",1,1,8,1
"57","rplI",59399,59857,1,152,"P66316","rplI","BQ2027_MB0057","50s ribosomal protein l9 rpli","SIT98427.1","CDS","bars","Mb0057"," rplI",NA," len 152 aa. ",NA,"Rv0056","blue","blue",1,1,8,1
"58","BQ2027_MB0058",59886,60407,1,173,"P64680","-","BQ2027_MB0058","HYPOTHETICAL PROTEIN","SIT98430.1","CDS","bars","Mb0058"," -",NA," len 173 aa. ",NA,"Rv0057","blue","blue",1,1,8,1
"59","dnaB",60386,63010,1,874,"P59966","dnaB","BQ2027_MB0059","PROBABLE REPLICATIVE DNA HELICASE DNAB","SIT98432.1","CDS","bars","Mb0059"," dnaB",NA," len 874 aa. ",NA,"Rv0058","blue","blue",1,1,8,1
"60","BQ2027_MB0060",63190,63882,1,230,"A0A1R3XUE0","-","BQ2027_MB0060","HYPOTHETICAL PROTEIN","SIT98434.1","CDS","bars","Mb0060"," -",NA," len 230 aa. ",NA,"Rv0059","blue","blue",1,1,8,1
"61","BQ2027_MB0061",63899,64957,1,352,"A0A1R3XUT5","-","BQ2027_MB0061","ADP-ribose 1-phosphate phophatase related protein","SIT98436.1","CDS","bars","Mb0061"," -",NA," len 352 aa. ",NA,"Rv0060","blue","blue",1,1,8,1
"62","BQ2027_MB0062A",65002,65340,-1,112,"A0A1R3XU77","-","BQ2027_MB0062A","Hypothetical protein","SIT98437.1","CDS","bars","Mb0062A"," len 112 aa. "," Rv0061c"," from Mycobacterium tuberculosis strain H37Rv",NA," Rv0061c","blue","blue",1,1,8,1
"63","celA1",65542,66684,1,380,"A0A1R3XU64","celA1","BQ2027_MB0063","POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)","SIT98438.1","CDS","bars","Mb0063"," celA1",NA," len 380 aa. ",NA,"Rv0062","blue","blue",1,1,8,1
"64","BQ2027_MB0064",66913,68352,1,479,"A0A1R3XU80","-","BQ2027_MB0064","POSSIBLE OXIDOREDUCTASE","SIT98439.1","CDS","bars","Mb0064"," -",NA," len 479 aa. ",NA,"Rv0063","blue","blue",1,1,8,1
"65","BQ2027_MB0065",68610,71549,1,979,"Q7U2X8","-","BQ2027_MB0065","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN","SIT98440.1","CDS","bars","Mb0065"," -",NA," len 979 aa. ",NA,"Rv0064","blue","blue",1,1,8,1
"66","vapB1",71616,71855,1,79,"A0A1R3XU88","vapB1","BQ2027_MB0065A","Possible antitoxin VapB1","SIT98441.1","CDS","bars","Mb0065A"," len 79 aa. "," Rv0064A"," from Mycobacterium tuberculosis strain H37Rv",NA," Rv0064A","blue","blue",1,1,8,1
"67","vapc1",71848,72249,1,133,"A0A1R3XU79","vapc1","BQ2027_MB0066","possible toxin vapc1","SIT98442.1","CDS","bars","Mb0066"," -",NA," len 133 aa. ",NA,"Rv0065","blue","blue",1,1,8,1
"68","icd2",72301,74538,-1,745,"A0A1R3XWE0","icd2","BQ2027_MB0067C","PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2 (OXALOSUCCINATE DECARBOXYLASE) (IDH) (NADP+-SPECIFIC ICDH) (IDP)","SIT98443.1","CDS","bars","Mb0067c"," icd2",NA," len 745 aa. ",NA,"Rv0066c","blue","blue",1,1,8,1
"69","BQ2027_MB0068C",74656,75225,-1,189,"A0A1R3XVC8","-","BQ2027_MB0068C","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)","SIT98444.1","CDS","bars","Mb0068c"," -",NA," len 189 aa. ",NA,"Rv0067c","blue","blue",1,1,8,1
"70","BQ2027_MB0069",75328,76239,1,303,"A0A1R3XUE4","-","BQ2027_MB0069","PROBABLE OXIDOREDUCTASE","SIT98446.1","CDS","bars","Mb0069"," -",NA," len 303 aa. ",NA,"Rv0068","blue","blue",1,1,8,1
"71","sdaA",76264,77649,-1,461,"P66774","sdaA","BQ2027_MB0070C","PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD)","SIT98448.1","CDS","bars","Mb0070c"," sdaA",NA," len 461 aa. ",NA,"Rv0069c","blue","blue",1,1,8,1
"72","glyA2",77646,78923,-1,425,"Q7U2X3","glyA2","BQ2027_MB0071C","serine hydroxymethyltransferase glya2 (serine methylase 2) (shmt 2)","SIT98450.1","CDS","bars","Mb0071c"," glyA2",NA," len 425 aa. ",NA,"Rv0070c","blue","blue",1,1,8,1
"73","BQ2027_MB0072",79513,80229,1,238,"A0A1R3XU78","-","BQ2027_MB0072","POSSIBLE MATURASE","SIT98452.1","CDS","bars","Mb0072"," -",NA," len 238 aa. ",NA,"Rv0071","blue","blue",1,1,8,1
"74","BQ2027_MB0073",80660,81709,1,349,"NA","-","BQ2027_MB0073","PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER","CAB5247775.1","CDS","bars","Mb0073"," -",NA," len 349 aa. ",NA,"Rv0072","blue","blue",1,1,8,1
"75","BQ2027_MB0074",81712,82554,1,280,"NA","-","BQ2027_MB0074","PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ","CAB5247776.1","CDS","bars","Mb0074"," -",NA," len 280 aa. ",NA,"Rv0073","blue","blue",1,1,8,1
"76","BQ2027_MB0075",82557,82703,1,48,"NA","-","BQ2027_MB0075","PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ","CAB5247777.1","CDS","bars","Mb0075 found to be expressed during exponential growth in Sauton's minimal media by RNA-sequencing.","Mb0075",NA," -",NA,NA,"blue","blue",1,1,8,1
"77","BQ2027_MB0076",82783,84018,1,411,"NA","-","BQ2027_MB0076","Xaa-Pro dipeptidase (EC","CAB5247778.1","CDS","bars","Mb0076"," -",NA," len 411 aa. ",NA,"Rv0074","blue","blue",1,1,8,1
"78","BQ2027_MB0077",84031,85203,1,390,"NA","-","BQ2027_MB0077","PROBABLE AMINOTRANSFERASE","CAB5247779.1","CDS","bars","Mb0077"," -",NA," len 390 aa. ",NA,"Rv0075","blue","blue",1,1,8,1
"79","BQ2027_MB0078C",85218,85607,-1,129,"NA","-","BQ2027_MB0078C","PROBABLE MEMBRANE PROTEIN","CAB5247780.1","CDS","bars","Mb0078c"," -",NA," len 129 aa. ",NA,"Rv0076c","blue","blue",1,1,8,1
"80","BQ2027_MB0079C",85671,86501,-1,276,"NA","-","BQ2027_MB0079C","PROBABLE OXIDOREDUCTASE","CAB5247781.1","CDS","bars","Mb0079c"," -",NA," len 276 aa. ",NA,"Rv0077c","blue","blue",1,1,8,1
"81","BQ2027_MB0080",86563,87168,1,201,"NA","-","BQ2027_MB0080","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN","CAB5247782.1","CDS","bars","Mb0080"," -",NA," len 201 aa. ",NA,"Rv0078","blue","blue",1,1,8,1
"82","BQ2027_MB0081C",87243,87836,-1,197,"NA","-","BQ2027_MB0081C","HYPOTHETICAL PROTEIN","CAB5247783.1","CDS","bars","Mb0081c"," -",NA," len 197 aa. ",NA,"Rv0078A","blue","blue",1,1,8,1
"83","BQ2027_MB0081A",87833,88039,-1,68,"NA","-","BQ2027_MB0081A","Conserved protein","CAB5247784.1","CDS","bars","Mb0081A"," len 68 aa. "," Rv0078B"," from Mycobacterium tuberculosis strain H37Rv",NA," Rv0078B","blue","blue",1,1,8,1
"84","BQ2027_MB0082",88239,89060,1,273,"NA","-","BQ2027_MB0082","Ribosome hibernation promoting factor Hpf","CAB5247785.1","CDS","bars","Mb0082"," -",NA," len 273 aa. ",NA,"Rv0079","blue","blue",1,1,8,1
"85","BQ2027_MB0083",89057,89515,1,152,"NA","-","BQ2027_MB0083","Putative DNA-binding protein","CAB5247786.1","CDS","bars","Mb0083"," -",NA," len 152 aa. ",NA,"Rv0080","blue","blue",1,1,8,1
"86","BQ2027_MB0084",89610,89954,1,114,"NA","-","BQ2027_MB0084","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN","CAB5247787.1","CDS","bars","Mb0084"," -",NA," len 114 aa. ",NA,"Rv0081","blue","blue",1,1,8,1
"87","BQ2027_MB0085",89959,90438,1,159,"NA","-","BQ2027_MB0085","PROBABLE OXIDOREDUCTASE","CAB5247788.1","CDS","bars","Mb0085"," -",NA," len 159 aa. ",NA,"Rv0082","blue","blue",1,1,8,1
"88","BQ2027_MB0086",90435,92363,1,642,"NA","-","BQ2027_MB0086","PROBABLE OXIDOREDUCTASE","CAB5247789.1","CDS","bars","Mb0086"," -",NA," len 642 aa. ",NA,"Rv0083","blue","blue",1,1,8,1
"89","hycD",92363,93313,1,316,"NA","hycD","BQ2027_MB0087","POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL)","CAB5247790.1","CDS","bars","Mb0087"," hycD",NA," len 316 aa. ",NA,"Rv0084","blue","blue",1,1,8,1
"90","hycP",93324,93986,1,220,"NA","hycP","BQ2027_MB0088","POSSIBLE HYDROGENASE HYCP","CAB5247791.1","CDS","bars","Mb0088"," hycP",NA," len 220 aa. ",NA,"Rv0085","blue","blue",1,1,8,1
"91","hycQ",93986,95452,1,488,"NA","hycQ","BQ2027_MB0089","POSSIBLE HYDROGENASE HYCQ","CAB5247792.1","CDS","bars","Mb0089"," hycQ",NA," len 488 aa. ",NA,"Rv0086","blue","blue",1,1,8,1
"92","hycE",95449,96927,1,492,"NA","hycE","BQ2027_MB0090","possible formate hydrogenase hyce (fhl)","CAB5247793.1","CDS","bars","Mb0090"," hycE",NA," len 492 aa. ",NA,"Rv0087","blue","blue",1,1,8,1
"93","BQ2027_MB0091",96962,97636,1,224,"NA","-","BQ2027_MB0091","possible polyketide cyclase/dehydrase","CAB5247794.1","CDS","bars","Mb0091"," -",NA," len 224 aa. ",NA,"Rv0088","blue","blue",1,1,8,1
"94","BQ2027_MB0092",97793,98386,1,197,"NA","-","BQ2027_MB0092","POSSIBLE METHYLTRANSFERASE/METHYLASE","CAB5247795.1","CDS","bars","Mb0092"," -",NA," len 197 aa. ",NA,"Rv0089","blue","blue",1,1,8,1
"95","BQ2027_MB0093",98515,99285,1,256,"NA","-","BQ2027_MB0093","POSSIBLE MEMBRANE PROTEIN","CAB5247796.1","CDS","bars","Mb0093"," -",NA," len 256 aa. ",NA,"Rv0090","blue","blue",1,1,8,1
"96","mtn",99719,100486,1,255,"NA","mtn","BQ2027_MB0094","probable bifunctional mta/sah nucleosidase mtn 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + s-adenosylhomocysteine nucleosidase (s-adenosyl-l-homocysteine homocysteinylribohydrolase)","CAB5247797.1","CDS","bars","Mb0094"," mtn",NA," len 255 aa. ",NA,"Rv0091","blue","blue",1,1,8,1
"97","ctpA",100618,102903,1,761,"NA","ctpA","BQ2027_MB0095","cation transporter p-type atpase a ctpa","CAB5247798.1","CDS","bars","Mb0095"," ctpA",NA," len 761 aa. ",NA,"Rv0092","blue","blue",1,1,8,1
"98","BQ2027_MB0096C",102850,103698,-1,282,"NA","-","BQ2027_MB0096C","PROBABLE CONSERVED MEMBRANE PROTEIN","CAB5247799.1","CDS","bars","Mb0096c"," -",NA," len 282 aa. ",NA,"Rv0093c","blue","blue",1,1,8,1
"99","BQ2027_MB0097C",103745,104464,-1,239,"NA","-","BQ2027_MB0097C","13E12 repeat family protein","CAB5247800.1","CDS","bars","Mb0097c"," -",NA," len 239 aa. ",NA,"Rv0094c","blue","blue",1,1,8,1
