"","Gene","No..isolates"
"154","tetC",851
"155","group_2244",851
"156","hyfB",851
"157","group_2243",851
"158","ssb",851
"159","group_2242",851
"160","espG1",851
"161","group_2241",851
"162","pspA_1",851
"163","group_2240",851
"164","group_2238",851
"165","group_2237",851
"166","group_2236",851
"167","group_2235",851
"168","group_2234",851
"169","papA1_1~~~papA1_2~~~papA1",851
"170","lcpB",851
"171","leuS",851
"172","group_2233",851
"173","cenA",851
"174","group_2230",851
"175","whiB5",851
"176","erp",851
"177","gltD",851
"178","espH",851
"179","group_2229",851
"180","gyrA1",851
"181","yvdP",851
"182","sigM",851
"183","sdaA",851
"184","group_2228",851
"185","group_2226",851
"186","rplI",851
"187","group_2225",851
"188","trxA",851
"189","group_2224",851
"190","fhaA",851
"191","rpsR1_1",851
"192","eccE1",851
"193","group_2223",851
"194","group_2222",851
"195","espF",851
"196","hutI_1~~~~~~hutI_2",851
"197","rodA",851
"198","group_2221",851
"199","esxB",851
"200","group_2220",851
"201","group_2219",851
"202","mtp",851
"203","group_2218",851
"204","mtrB",851
"205","mddA",851
"206","mmpS3_1~~~mmpS3_2",851
"207","nuoB",851
"208","higA2_1",851
"209","group_2217",851
"210","sapM",851
"211","group_2216",851
"212","group_2215",851
"213","alkB",851
"214","ctpC",851
"215","group_2214",851
"216","tgs3",851
"217","algC",851
"218","group_2212",851
"219","higB2_1",851
"220","nudC",851
"221","sdhC",851
"222","sdhB",851
"223","nuoD",851
"224","group_2211",851
"225","gpm2",851
"226","nuoI",851
"227","group_2210",851
"228","group_2209",851
"229","group_2208",851
"230","amhM",851
"231","group_2206",851
"232","mdtD_1~~~mdtD_2",851
"233","ahcY",851
"234","moaA1_1~~~moaA1_3",851
"235","yhdG_2",851
"236","lat",851
"237","hpf",851
"238","upp",851
"239","group_2205",851
"240","nuoL",851
"241","nuoC",851
"242","caiA_3",851
"243","group_2204",851
"244","whiB7",851
"245","group_2203",851
"246","group_2202",851
"247","lcpA_1",851
"248","group_2201",851
"249","group_2200",851
"250","add",851
"251","caiA_2",851
"252","rsgA",851
"253","sigH",851
"254","group_2199",851
"255","nei1_1",851
"256","betI_2",851
"257","mtrA",851
"258","group_2198",851
"259","yeaW",851
"260","khtU",851
"261","group_2197",851
"262","nuoF",851
"263","group_2196",851
"264","sdhA_2",851
"265","pdtaS",851
"266","fbiA",851
"267","lpdA_2",851
"268","group_2194",851
"269","lpqB",851
"270","birA",851
"271","tdh_1~~~qorA_1",851
"272","group_2190",851
"273","menF_1",851
"274","wbbL",851
"275","sigF",851
"276","group_2189",851
"277","group_2188",851
"278","glpD2",851
"279","group_2187",851
"280","ylbL",851
"281","ubiB",851
"282","group_2186",851
"283","cshA~~~deaD_1",851
"284","group_2185",851
"285","group_2184",851
"286","group_2183",851
"287","phoU1",851
"288","group_2182",851
"289","nuoG",851
"290","purE",851
"291","group_2180",851
"292","fbiB",851
"293","whiB",851
"294","atl",851
"295","rshA",851
"296","group_2179",851
"297","group_2178",851
"298","group_2177",851
"299","ravA",851
"300","group_2176",851
"301","cugP",851
"302","group_2175",851
"303","tmk",851
"304","aroA",851
"305","group_2174",851
"306","secA1",851
"307","punA",851
"308","desA3",851
"309","group_2173",851
"310","deoA",851
"311","group_2172",851
"312","ddn_1",851
"313","group_2171",851
"314","group_2170",851
"315","group_2169",851
"316","group_2168",851
"317","group_2166",851
"318","group_2165",851
"319","group_2164",851
"320","group_2163",851
"321","cdd",851
"322","group_2162",851
"323","group_2161",851
"324","group_2160",851
"325","group_2159",851
"326","group_2158",851
"327","group_2157",851
"328","group_2156",851
"329","ppk2",851
"330","group_2155",851
"331","sseA",851
"332","group_2154",851
"333","manA",851
"334","moaR1",851
"335","ndhC",851
"336","group_2153",851
"337","group_2152",851
"338","purK",851
"339","group_2151",851
"340","aofH",851
"341","group_2150",851
"342","rmlD",851
"343","group_2149",851
"344","rutD_1~~~bpoC_2",851
"345","carB_1",851
"346","group_2147",851
"347","group_2146",851
"348","kefC",851
"349","group_2145",851
"350","rutD_1",851
"351","group_2144",851
"352","dhaA_1",851
"353","group_2143",851
"354","moeZ_1",851
"355","rubA",851
"356","nuoM",851
"357","uvrD2",851
"358","yegS",851
"359","group_2142",851
"360","hisN",851
"361","group_2141",851
"362","nuoH",851
"363","scmP",851
"364","accD5_1",851
"365","rsbW",851
"366","tgs1",851
"367","group_2140",851
"368","group_2139",851
"369","group_2138",851
"370","group_2137",851
"371","rep_1",851
"372","moaE1",851
"373","gucD~~~gabD",851
"374","group_2134",851
"375","group_2133",851
"376","group_2131",851
"377","group_2130",851
"378","group_2129",851
"379","alkG",851
"380","group_2128",851
"381","group_2127",851
"382","group_2126",851
"383","devR",851
"384","group_2125",851
"385","group_2124",851
"386","group_2123",851
"387","group_2122",851
"388","group_2121",851
"389","group_2120",851
"390","group_2119",851
"391","nuoN",851
"392","group_2118",851
"393","group_2117",851
"394","devS",851
"395","group_2115",851
"396","rep_2",851
"397","lipV",851
"398","whiB1",851
"399","group_2114",851
"400","nuoE",851
"401","yedK",851
"402","group_2113",851
"403","group_2112",851
"404","srmB",851
"405","moaC1_2~~~moaC1_1",851
"406","group_2110",851
"407","group_2109",851
"408","group_2108",851
"409","drrA_1",851
"410","group_2107",851
"411","group_2106",851
"412","group_2105",851
"413","group_2104",851
"414","group_2102",851
"415","group_2101",851
"416","group_2100",851
"417","ftsQ",851
"418","group_2099",851
"419","group_2098",851
"420","lppW",851
"421","group_2097",851
"422","miaA",851
"423","mctB",851
"424","oxyR",851
"425","mshD",851
"426","group_2095",851
"427","group_2094",851
"428","group_2093",851
"429","group_2092",851
"430","thrB",851
"431","group_2091",851
"432","group_2090",851
"433","group_2089",851
"434","mutT1",851
"435","ksgA",851
"436","group_2088",851
"437","group_2087",851
"438","acyP",851
"439","cysO",851
"440","hisE",851
"441","group_2084",851
"442","relF",851
"443","rpsS",851
"444","etfA",851
"445","ispE",851
"446","yrdA",851
"447","group_2082",851
"448","group_2081",851
"449","cobU",851
"450","rmd",851
"451","group_2080",851
"452","pyrB",851
"453","group_2079",851
"454","group_2078",851
"455","cobD",851
"456","nlhH_2",851
"457","ephA_2",851
"458","group_2077",851
"459","group_2076",851
"460","group_2075",851
"461","egtD",851
"462","ansA",851
"463","group_2074",851
"464","group_2073",851
"465","group_2071",851
"466","group_2070",851
"467","group_2069",851
"468","nrdF1",851
"469","group_2068",851
"470","galE1",851
"471","group_2067",851
"472","group_2066",851
"473","group_2065",851
"474","aroK",851
"475","rimM",851
"476","group_2064",851
"477","cysM",851
"478","tilS",851
"479","sigB",851
"480","idi",851
"481","group_2062",851
"482","gpgS",851
"483","group_2061",851
"484","group_2060",851
"485","ribF",851
"486","group_2059",851
"487","group_2058",851
"488","adoK",851
"489","ccsA",851
"490","group_2057",851
"491","whiA",851
"492","group_2056",851
"493","apa",851
"494","group_2055",851
"495","group_2054",851
"496","group_2052",851
"497","prs",851
"498","group_2050",851
"499","mazG",851
"500","group_2048",851
"501","menC",851
"502","ahpD",851
"503","rcdA",851
"504","ybeY",851
"505","yfiY",851
"506","group_2046",851
"507","dapD",851
"508","ctaC",851
"509","dut",851
"510","mobA",851
"511","recX",851
"512","rplJ",851
"513","group_2045",851
"514","hepT_1",851
"515","group_2044",851
"516","group_2043",851
"517","group_2042",851
"518","ricR",851
"519","esxH",851
"520","group_2041",851
"521","group_2040",851
"522","sdsA",851
"523","group_2038",851
"524","group_2037",851
"525","rplF",851
"526","group_2036",851
"527","group_2035",851
"528","acg",851
"529","drrA_2",851
"530","moaA_1",851
"531","eccE3",851
"532","group_2034",851
"533","group_2033",851
"534","cysD",851
"535","pafB",851
"536","group_2032",851
"537","msrB",851
"538","group_2031",851
"539","group_2030",851
"540","thiL",851
"541","rplQ",851
"542","group_2029",851
"543","group_2028",851
"544","group_2027",851
"545","ctaE",851
"546","group_2026",851
"547","group_2025",851
"548","group_2024",851
"549","relE",851
"550","group_2023",851
"551","group_2022",851
"552","group_2021",851
"553","esxG",851
"554","group_2020",851
"555","mtnN_1",851
"556","group_2019",851
"557","group_2018",851
"558","group_2017",851
"559","rocD",851
"560","moaB",851
"561","leuB",851
"562","group_2016",851
"563","trpS",851
"564","csm6",851
"565","nrnA",851
"566","adk",851
"567","group_2015",851
"568","fgd1_1",851
"569","mkl",851
"570","ilvC",851
"571","parE1",851
"572","lipY_2",851
"573","group_2013",851
"574","group_2012",851
"575","group_2011",851
"576","group_2010",851
"577","desA1",851
"578","group_2009",851
"579","lpqE",851
"580","pfkB",851
"581","gap",851
"582","ribD",851
"583","msrA",851
"584","group_2007",851
"585","drrC",851
"586","group_2006",851
"587","group_2004",851
"588","virS_1",851
"589","ipsA",851
"590","group_2003",851
"591","thiO",851
"592","oxyT",851
"593","fbpC",851
"594","group_2001",851
"595","group_2000",851
"596","rbfA",851
"597","rimP",851
"598","group_1999",851
"599","group_1998",851
"600","group_1997",851
"601","group_1996",851
"602","group_1995",851
"603","gatC",851
"604","group_1993",851
"605","group_1992",851
"606","group_1991",851
"607","yehZ",851
"608","group_1989",851
"609","hrcA",851
"610","group_1988",851
"611","group_1987",851
"612","rsmH",851
"613","group_1986",851
"614","tsaD",851
"615","ruvB",851
"616","ispH2",851
"617","hemH",851
"618","nmoA",851
"619","fba",851
"620","asd",851
"621","caiD_3",851
"622","group_1983",851
"623","adhC",851
"624","group_1982",851
"625","group_1981",851
"626","group_1980",851
"627","cydB",851
"628","group_1979",851
"629","frr",851
"630","group_1977",851
"631","group_1976",851
"632","adhA",851
"633","group_1975",851
"634","groS",851
"635","lipY_3",851
"636","group_1974",851
"637","group_1973",851
"638","mazE4",851
"639","ureA",851
"640","group_1972",851
"641","group_1971",851
"642","rplW",851
"643","group_1970",851
"644","trpD",851
"645","nusA",851
"646","group_1969",851
"647","lprB",851
"648","nadA",851
"649","group_1967",851
"650","group_1966",851
"651","pncA",851
"652","group_1965",851
"653","group_1964",851
"654","group_1963",851
"655","rpsN",851
"656","higA2_2",851
"657","clpS",851
"658","group_1961",851
"659","group_1960",851
"660","rpsJ",851
"661","group_1958",851
"662","group_1957",851
"663","group_1956",851
"664","group_1955",851
"665","efp",851
"666","log",851
"667","hsaB",851
"668","group_1954",851
"669","sigK",851
"670","rplE",851
"671","group_1953",851
"672","ord_2",851
"673","group_1952",851
"674","group_1951",851
"675","ribBA_2",851
"676","virS_2",851
"677","pat",851
"678","group_1950",851
"679","dapE_1",851
"680","group_1948",851
"681","ruvC",851
"682","rsmD",851
"683","group_1946",851
"684","group_1945",851
"685","group_1944",851
"686","aes_3",851
"687","whiB3",851
"688","group_1943",851
"689","group_1942",851
"690","group_1941",851
"691","group_1940",851
"692","vapC3_1",851
"693","PE5_1",851
"694","ephB_2",851
"695","group_1939",851
"696","bkdA",851
"697","group_1937",851
"698","msiK_2",851
"699","prfA",851
"700","group_1935",851
"701","group_1934",851
"702","zapE",851
"703","group_1932",851
"704","group_1931",851
"705","group_1930",851
"706","group_1929",851
"707","lppK",851
"708","kdpC",851
"709","group_1928",851
"710","group_1927",851
"711","group_1926",851
"712","group_1925",851
"713","group_1924",851
"714","ddl",851
"715","group_1923",851
"716","ophA1",851
"717","ord_1",851
"718","group_1921",851
"719","group_1920",851
"720","group_1919",851
"721","group_1918",851
"722","thrC",851
"723","rplU",851
"724","group_1917",851
"725","group_1916",851
"726","group_1914",851
"727","ribE",851
"728","group_1913",851
"729","espC",851
"730","mazF3",851
"731","dcd",851
"732","chaA",851
"733","group_1912",851
"734","fgd2",851
"735","group_1911",851
"736","aroB",851
"737","alaC",851
"738","rpfB",851
"739","glpX",851
"740","menE_1",851
"741","group_1908",851
"742","group_1907",851
"743","group_1906",851
"744","sigD",851
"745","pth",851
"746","group_1905",851
"747","group_1904",851
"748","galK",851
"749","group_1903",851
"750","group_1902",851
"751","group_1901",851
"752","mazF7",851
"753","ureB",851
"754","group_1893",851
"755","group_1892",851
"756","group_1891",851
"757","group_1890",851
"758","pntAA",851
"759","group_1889",851
"760","group_1888",851
"761","group_1887",851
"762","adh",851
"763","msrP",851
"764","gcvT",851
"765","group_1886",851
"766","group_1885",851
"767","adhD",851
"768","ilvE",851
"769","group_1883",851
"770","group_1882",851
"771","group_1881",851
"772","group_1880",851
"773","modC",851
"774","murB",851
"775","group_1879",851
"776","parE2",851
"777","group_1878",851
"778","mhuD",851
"779","group_1877",851
"780","group_1876",851
"781","group_1875",851
"782","rplX",851
"783","pstS3",851
"784","ypdF",851
"785","group_1872",851
"786","group_1871",851
"787","pyrD",851
"788","group_1870",851
"789","group_1869",851
"790","group_1868",851
"791","korB",851
"792","group_1866",851
"793","group_1865",851
"794","acrC_1",851
"795","mazE3",851
"796","group_1863",851
"797","group_1862",851
"798","group_1861",851
"799","group_1860",851
"800","group_1859",851
"801","group_1858",851
"802","group_1857",851
"803","group_1856",851
"804","group_1855",851
"805","guaB3",851
"806","rbn_2",851
"807","group_1854",851
"808","group_1853",851
"809","adhB_2",851
"810","group_1851",851
"811","proB",851
"812","carA",851
"813","opuBA",851
"814","serC",851
"815","group_1850",851
"816","group_1849",851
"817","group_1848",851
"818","group_1847",851
"819","group_1846",851
"820","mmr",851
"821","group_1845",851
"822","group_1844",851
"823","group_1843",851
"824","kmtR",851
"825","ruvA",851
"826","group_1842",851
"827","prfB",851
"828","group_1841",851
"829","group_1840",851
"830","ftsZ",851
"831","group_1838",851
"832","hisC",851
"833","group_1837",851
"834","group_1836",851
"835","group_1835",851
"836","group_1834",851
"837","group_1833",851
"838","lprI",851
"839","mrp",851
"840","mutT3",851
"841","group_1832",851
"842","pucB",851
"843","group_1831",851
"844","def",851
"845","group_1830",851
"846","trmB",851
"847","group_1829",851
"848","fdxA_1",851
"849","dnaJ2",851
"850","group_1828",851
"851","group_1827",851
"852","group_1826",851
"853","group_1825",851
"854","secF",851
"855","group_1824",851
"856","group_1823",851
"857","cdh",851
"858","group_1822",851
"859","group_1820",851
"860","mshA_1",851
"861","leuD",851
"862","pdxT",851
"863","group_1819",851
"864","pimB",851
"865","group_1818",851
"866","group_1817",851
"867","group_1816",851
"868","group_1815",851
"869","mbtN",851
"870","group_1813",851
"871","kshA",851
"872","group_1812",851
"873","pcaF",851
"874","bioF1",851
"875","mmgC_4",851
"876","group_1811",851
"877","mazF5",851
"878","group_1809",851
"879","group_1808",851
"880","ispG",851
"881","sucC",851
"882","group_1807",851
"883","embR_2",851
"884","rebG",851
"885","group_1806",851
"886","clpP1",851
"887","kstR2_2",851
"888","group_1805",851
"889","group_1804",851
"890","betI_1",851
"891","acdA",851
"892","lprN_1",851
"893","group_1801",851
"894","group_1800",851
"895","rpoZ",851
"896","group_1799",851
"897","hypB_2",851
"898","group_1798",851
"899","group_1797",851
"900","group_1796",851
"901","group_1795",851
"902","otsB",851
"903","fadA5",851
"904","group_1794",851
"905","mftC",851
"906","espA",851
"907","group_1791",851
"908","group_1790",851
"909","group_1789",851
"910","lppC",851
"911","group_1788",851
"912","bkdC",851
"913","group_1786",851
"914","group_1785",851
"915","group_1784",851
"916","sugC",851
"917","iscS",851
"918","group_1783",851
"919","group_1782",851
"920","prpC",851
"921","group_1781",851
"922","mmgC_6",851
"923","hsaA_1",851
"924","group_1777",851
"925","group_1776",851
"926","group_1775",851
"927","folE",851
"928","group_1774",851
"929","group_1772",851
"930","mmgC_3",851
"931","group_1768",851
"932","group_1767",851
"933","group_1766",851
"934","dnaJ1",851
"935","narK2",851
"936","group_1762",851
"937","tuf",851
"938","mftD",851
"939","dapE_3",851
"940","menA~~~fabH~~~~~~fabH_2",851
"941","rimJ",851
"942","recR",851
"943","group_1755",851
"944","resA_1",851
"945","group_1751",851
"946","group_1750",851
"947","group_1748",851
"948","group_1747",851
"949","cfp6",851
"950","lsr2",851
"951","vapC5_1",851
"952","group_1741",851
"953","group_1739",851
"954","argG",851
"955","group_1735",851
"956","group_1731",851
"957","tag",851
"958","group_1729",851
"959","group_1728",851
"960","group_1727",851
"961","group_1726",851
"962","group_1724",851
"963","group_1723",851
"964","group_1719",851
"965","group_1713",851
"966","group_1712",851
"967","mmsB_2",851
"968","group_1707",851
"969","group_1706",851
"970","group_1705",851
"971","group_1700",851
"972","group_1699",851
"973","group_1698",851
"974","group_1697",851
"975","group_1695",851
"976","rplS",851
"977","caiD_4",851
"978","group_1694",851
"979","group_1693",851
"980","group_1692",851
"981","fadA_1",851
"982","caiA_1",851
"983","group_1686",851
"984","group_1685",851
"985","group_1684",851
"986","hisH",851
"987","wecA",851
"988","group_1681",851
"989","group_1680",851
"990","group_1679",851
"991","glgC",851
"992","rip1",851
"993","cysK2",851
"994","argJ",851
"995","group_1678",851
"996","group_1676",851
"997","group_1675",851
"998","cysG_1",851
"999","group_1672",851
"1000","eccE5",851
"1001","fdxA_2",851
"1002","mazF6",851
"1003","group_1671",851
"1004","group_1667",851
"1005","group_1666",851
"1006","coaE",851
"1007","btuR",851
"1008","kce_1",851
"1009","group_1665",851
"1010","ldtB",851
"1011","alr",851
"1012","group_1662",851
"1013","mazE7",851
"1014","menJ",851
"1015","group_1659",851
"1016","arfB",851
"1017","group_1657",851
"1018","group_1656",851
"1019","group_1653",851
"1020","serB2",851
"1021","group_1651",851
"1022","group_1649",851
"1023","yajC",851
"1024","group_1647",851
"1025","group_1646",851
"1026","gmk",851
"1027","group_1645",851
"1028","pdtaR",851
"1029","group_1643",851
"1030","hisI",851
"1031","group_1642",851
"1032","acpM",851
"1033","frdC~~~frdB_2~~~~~~frdD",851
"1034","group_1641",851
"1035","group_1640",851
"1036","senX3",851
"1037","murG",851
"1038","group_1639",851
"1039","crt_2",851
"1040","group_1635",851
"1041","kdpD",851
"1042","group_1634",851
"1043","group_1632",851
"1044","thcD",851
"1045","group_1631",851
"1046","PPE3_1~~~PPE3",851
"1047","aac",851
"1048","group_1628",851
"1049","pgsA2",851
"1050","group_1626",851
"1051","ychF_1~~~ychF_2~~~ychF",851
"1052","pgk",851
"1053","frc",851
"1054","group_1623",851
"1055","ddpX",851
"1056","group_1621",851
"1057","aroE_2~~~aroE",851
"1058","group_1619",851
"1059","group_1618",851
"1060","group_1617",851
"1061","namA",851
"1062","group_1616",851
"1063","group_1615",851
"1064","murT",851
"1065","group_1614",851
"1066","pal~~~arfA_1~~~arfA_2~~~arfA",851
"1067","group_1610",851
"1068","mycP4",851
"1069","group_1609",851
"1070","menF_2",851
"1071","mshC",851
"1072","lldD",851
"1073","group_1605",851
"1074","mbtK",851
"1075","sigE",851
"1076","group_1603",851
"1077","group_1602",851
"1078","hisB_2",851
"1079","proA",851
"1080","yfeW_2",851
"1081","xseA",851
"1082","nylB",851
"1083","group_1601",851
"1084","kasA",851
"1085","group_1600",851
"1086","higA1",851
"1087","group_1599",851
"1088","group_1598",851
"1089","group_1597",851
"1090","group_1594",851
"1091","lprA",851
"1092","group_1590",851
"1093","csd",851
"1094","group_1589",851
"1095","group_1587",851
"1096","group_1586",851
"1097","fic",851
"1098","ureF",851
"1099","gloB_1",851
"1100","nadD",851
"1101","group_1582",851
"1102","group_1581",851
"1103","group_1579",851
"1104","higB1",851
"1105","group_1578",851
"1106","group_1576",851
"1107","ppsC~~~~~~ppsC_2~~~ppsC_1",851
"1108","mazF9",851
"1109","tap",851
"1110","purT",851
"1111","sadH_1",851
"1112","ylmA",851
"1113","rpsB",851
"1114","raaS",851
"1115","group_1571",851
"1116","group_1570",851
"1117","group_1569",851
"1118","group_1568",851
"1119","group_1567",851
"1120","trpB",851
"1121","ftsY",851
"1122","papA5",851
"1123","purD",851
"1124","lppP",851
"1125","hisS",851
"1126","group_1560",851
"1127","group_1559",851
"1128","tyrS",851
"1129","group_1558",851
"1130","nirD",851
"1131","group_1556",851
"1132","group_1555",851
"1133","phoU2",851
"1134","group_1553",851
"1135","group_1552",851
"1136","zur",851
"1137","group_1550",851
"1138","pksL~~~pikAI",851
"1139","group_1549",851
"1140","ribBA_1",851
"1141","hmp_1",851
"1142","narS",851
"1143","rpmG2_2",851
"1144","group_1543",851
"1145","group_1542",851
"1146","group_1541",851
"1147","clpX",851
"1148","porA",851
"1149","fbiD",851
"1150","hbhA",851
"1151","group_1539",851
"1152","clpP2",851
"1153","group_1538",851
"1154","kstR2_1",851
"1155","group_1536",851
"1156","group_1535",851
"1157","ufaA1",851
"1158","group_1534",851
"1159","group_1531",851
"1160","icl",851
"1161","mntH",851
"1162","group_1528",851
"1163","group_1527",851
"1164","group_1525",851
"1165","eno",851
"1166","resA_3",851
"1167","rplY",851
"1168","group_1524",851
"1169","group_1523",851
"1170","dxr",851
"1171","csoR_1",851
"1172","malL",851
"1173","group_1519",851
"1174","group_1516",851
"1175","pyrC",851
"1176","group_1515",851
"1177","group_1514",851
"1178","group_1513",851
"1179","group_1512",851
"1180","rpmG2_1",851
"1181","pimE",851
"1182","dgt",851
"1183","mbtG",851
"1184","group_1510",851
"1185","egtA",851
"1186","group_1509",851
"1187","ethR_1",851
"1188","group_1506",851
"1189","narL",851
"1190","aftC",851
"1191","sseB_1~~~sseB_2~~~sseB",851
"1192","dhaA_2~~~ephB_1",851
"1193","group_1504",851
"1194","fprB",851
"1195","group_1502",851
"1196","esxT",851
"1197","group_1501",851
"1198","aao~~~aao_1~~~aao_2",851
"1199","group_1498",851
"1200","xylB",851
"1201","group_1496",851
"1202","hsaA_2~~~hsaA_1",851
"1203","group_1494",851
"1204","group_1493",851
"1205","pgsA1",851
"1206","folK",851
"1207","mdtD_3~~~mdtL~~~mdtD_2",851
"1208","group_1491",851
"1209","group_1490",851
"1210","group_1489",851
"1211","rplC",851
"1212","pxpB",851
"1213","group_1488",851
"1214","group_1487",851
"1215","group_1486",851
"1216","group_1484",851
"1217","group_1483",851
"1218","rpfD_2~~~rpfD_1~~~rpfD",851
"1219","group_1482",851
"1220","group_1481",851
"1221","group_1480",851
"1222","group_1479",851
"1223","cmtR",851
"1224","group_1477",851
"1225","group_1476",851
"1226","kasB",851
"1227","scoB",851
"1228","group_1472",851
"1229","group_1471",851
"1230","sepF",851
"1231","group_1470",851
"1232","group_1469",851
"1233","group_1468",851
"1234","group_1467",851
"1235","group_1466",851
"1236","group_1465",851
"1237","group_1464",851
"1238","group_1463",851
"1239","group_1461",851
"1240","group_1459",851
"1241","gbsA",851
"1242","mmpS3_1~~~mmpS3_2~~~mmpS3_3",851
"1243","fadI",851
"1244","wecE_2~~~wecE_1~~~wecE",851
"1245","mprB_2~~~mprB_1~~~mprB",851
"1246","mgtA",851
"1247","group_1456",851
"1248","rpmF",851
"1249","secY",851
"1250","group_1455",851
"1251","group_1454",851
"1252","group_1453",851
"1253","group_1452",851
"1254","group_1451",851
"1255","group_1450",851
"1256","group_1448",851
"1257","alaS",851
"1258","group_1446",851
"1259","rplV",851
"1260","group_1444",851
"1261","hsaD~~~hsaD_1",851
"1262","eis",851
"1263","sugA",851
"1264","radA",851
"1265","qorA_2",851
"1266","group_1441",851
"1267","atpA",851
"1268","hup",851
"1269","group_1439",851
"1270","group_1438",851
"1271","group_1437",851
"1272","group_1436",851
"1273","hisD",851
"1274","group_1432",851
"1275","infB_2~~~infB",851
"1276","hmp_4",851
"1277","group_1431",851
"1278","group_1428",851
"1279","group_1427",851
"1280","kstR",851
"1281","rplN",851
"1282","rpsE",851
"1283","group_1426",851
"1284","rplR",851
"1285","group_1422",851
"1286","group_1420",851
"1287","atpFH",851
"1288","group_1419",851
"1289","group_1418",851
"1290","group_1417",851
"1291","glnA2",851
"1292","group_1416",851
"1293","group_1414",851
"1294","group_1413",851
"1295","nanT_1~~~csbC~~~galP",851
"1296","lysA",851
"1297","group_1410",851
"1298","group_1409",851
"1299","lpxD",851
"1300","group_1408",851
"1301","rocD2",851
"1302","nrdZ",851
"1303","glmM",851
"1304","group_1406",851
"1305","dapE_2",851
"1306","group_1404",851
"1307","metY",851
"1308","tcrX_2",851
"1309","group_1402",851
"1310","group_1400",851
"1311","group_1395",851
"1312","group_1394",851
"1313","mbtI",851
"1314","esxN_1",851
"1315","mazE6",851
"1316","group_1392",851
"1317","group_1391",851
"1318","group_1390",851
"1319","pcp",851
"1320","group_1388",851
"1321","ctpF",851
"1322","dprA",851
"1323","group_1386",851
"1324","group_1385",851
"1325","ppsA_1",851
"1326","treY",851
