Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Host,Collection_Date,BioSampleModel,isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolation_source,strain,collected_by,lat_lon,host_disease,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),sample_type,AssemblyName,sample_name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,title,Alias,INSDC_center_alias,ENA_CHECKLIST,subject_id,Biomaterial_provider,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,spoligotype,ArrayExpress-SPECIES,Genotype,VNTR,host_description,forward_read_length (run),MD5_checksum2 (run),MD5_checksum (run),reverse_read_length (run),REA,external_id,Submitter_Id,passage_history,identified_by,samp_size,common_name,lab_host,host_sex,geographic_location_(country_and/or_sea),host_health_state,host_scientific_name,Host_Age,host_tissue_sampled,doi_location,Description,env_biome,specific_host,env_feature,env_material,isol_growth_condt,num_replicons,ref_biomaterial,accession (run),object_status (run),study (run),analysis_type (exp),analysis_type (run),flowcell_barcode (run),gssr_id (exp),gssr_id (run),instrument_name (run),isolation-source,lane (run),library_type (exp)
SRR1791906,WGS,SAMN03300264,USDA-NVSL-DBL,public,SRX867568,Illumina MiSeq,250: 04-2067,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-67,SRP053287,PRJNA251692,312655561,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",466,443226790,Cattle,2004,Pathogen.cl,MB215,USA,North America,USA:TX,Tissue,Apr-67,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791863,WGS,SAMN03300221,USDA-NVSL-DBL,public,SRX867525,Illumina MiSeq,250: 03-2070,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Mar-70,SRP053287,PRJNA251692,386192787,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",458,559054353,Cattle,2003,Pathogen.cl,MB172,USA,North America,USA:MI,Tissue,Mar-70,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792172,WGS,SAMN03300530,USDA-NVSL-DBL,public,SRX867834,Illumina MiSeq,250: 09-2111,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,11-Sep,SRP053287,PRJNA251692,482654147,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",469,699713339,Cattle,2009,Pathogen.cl,MB481,Mexico,North America,Mexico,Tissue,11-Sep,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791864,WGS,SAMN03300222,USDA-NVSL-DBL,public,SRX867526,Illumina MiSeq,250: 03-2120,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,20-Mar,SRP053287,PRJNA251692,128401841,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",447,225876390,Cattle,2003,Pathogen.cl,MB173,Mexico,North America,Mexico,Tissue,20-Mar,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791865,WGS,SAMN03300223,USDA-NVSL-DBL,public,SRX867527,Illumina HiSeq 2000,250: 03-2123,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,23-Mar,SRP053287,PRJNA251692,274182412,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",106,389568232,Cattle,2003,Pathogen.cl,MB174,Mexico,North America,Mexico,Tissue,23-Mar,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792329,WGS,SAMN03300687,USDA-NVSL-DBL,public,SRX867991,Illumina MiSeq,250: 12-2163,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Dec-63,SRP053287,PRJNA251692,564328905,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",474,834054169,Cattle,2012,Pathogen.cl,MB638,Mexico,North America,Mexico,Tissue,Dec-63,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792330,WGS,SAMN03300688,USDA-NVSL-DBL,public,SRX867992,Illumina MiSeq,250: 12-2164,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Dec-64,SRP053287,PRJNA251692,565948791,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",468,813930313,Cattle,2012,Pathogen.cl,MB639,Mexico,North America,Mexico,Tissue,Dec-64,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792246,WGS,SAMN03300604,USDA-NVSL-DBL,public,SRX867908,Illumina MiSeq,250: 10-2172,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Oct-72,SRP053287,PRJNA251692,1000963429,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",454,1303824166,Cattle,2010,Pathogen.cl,MB555,USA,North America,USA:SD,Tissue,Oct-72,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791793,WGS,SAMN03300151,USDA-NVSL-DBL,public,SRX867455,Illumina MiSeq,250: 02-2201,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,1-Feb,SRP053287,PRJNA251692,542270990,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",465,838845916,Cattle,2002,Pathogen.cl,MB102,USA,North America,USA:TX,Tissue,1-Feb,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791794,WGS,SAMN03300152,USDA-NVSL-DBL,public,SRX867456,Illumina MiSeq,250: 02-2284,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Feb-84,SRP053287,PRJNA251692,432381952,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",448,545165298,Cattle,2002,Pathogen.cl,MB103,USA,North America,USA:CA,Tissue,Feb-84,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791715,WGS,SAMN03300073,USDA-NVSL-DBL,public,SRX867377,Illumina MiSeq,250: 01-2374,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-74,SRP053287,PRJNA251692,444852738,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",446,652557484,Cattle,2001,Pathogen.cl,MB24,USA,North America,USA:MO,Tissue,Jan-74,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791907,WGS,SAMN03300265,USDA-NVSL-DBL,public,SRX867569,Illumina MiSeq,250: 04-2378,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-78,SRP053287,PRJNA251692,183114267,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",106,267034776,Cattle,2004,Pathogen.cl,MB216,Mexico,North America,Mexico,Tissue,Apr-78,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792108,WGS,SAMN03300466,USDA-NVSL-DBL,public,SRX867770,Illumina MiSeq,250: 08-2416,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,16-Aug,SRP053287,PRJNA251692,657508527,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",460,982512738,Cattle,2008,Pathogen.cl,MB417,USA,North America,USA:CA,Tissue,16-Aug,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792109,WGS,SAMN03300467,USDA-NVSL-DBL,public,SRX867771,Illumina MiSeq,250: 08-2429,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,29-Aug,SRP053287,PRJNA251692,666699758,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",452,1037001753,Cattle,2008,Pathogen.cl,MB418,USA,North America,USA:CA,Tissue,29-Aug,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792110,WGS,SAMN03300468,USDA-NVSL-DBL,public,SRX867772,Illumina MiSeq,250: 08-2431,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,31-Aug,SRP053287,PRJNA251692,700401858,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",439,1090761750,Cattle,2008,Pathogen.cl,MB419,USA,North America,USA:CA,Tissue,31-Aug,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792111,WGS,SAMN03300469,USDA-NVSL-DBL,public,SRX867773,Illumina MiSeq,250: 08-2434,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Aug-34,SRP053287,PRJNA251692,277985400,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",445,459754110,Cattle,2008,Pathogen.cl,MB420,USA,North America,USA:CA,Tissue,Aug-34,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791716,WGS,SAMN03300074,USDA-NVSL-DBL,public,SRX867378,Illumina MiSeq,250: 01-2452,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-52,SRP053287,PRJNA251692,935643844,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",450,1239201548,Cattle,2001,Pathogen.cl,MB25,USA,North America,USA:MI,Tissue,Jan-52,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792002,WGS,SAMN03300360,USDA-NVSL-DBL,public,SRX867664,Illumina HiSeq 2000,250: 06-2501,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,1-Jun,SRP053287,PRJNA251692,155793754,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",106,221710448,Cattle,2006,Pathogen.cl,MB311,USA,North America,USA:TX,Tissue,1-Jun,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791718,WGS,SAMN03300076,USDA-NVSL-DBL,public,SRX867380,Illumina MiSeq,250: 01-2508,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,8-Jan,SRP053287,PRJNA251692,1019542123,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",456,1329121543,Cattle,2001,Pathogen.cl,MB27,USA,North America,USA:MI,Tissue,8-Jan,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791719,WGS,SAMN03300077,USDA-NVSL-DBL,public,SRX867381,Illumina MiSeq,250: 01-2509,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,9-Jan,SRP053287,PRJNA251692,536680790,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",433,721883036,Cattle,2001,Pathogen.cl,MB28,USA,North America,USA:MI,Tissue,9-Jan,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791720,WGS,SAMN03300078,USDA-NVSL-DBL,public,SRX867382,Illumina MiSeq,250: 01-2536,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-36,SRP053287,PRJNA251692,386504506,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",470,609590179,Cattle,2001,Pathogen.cl,MB29,Mexico,North America,Mexico,Tissue,Jan-36,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791908,WGS,SAMN03300266,USDA-NVSL-DBL,public,SRX867570,Illumina MiSeq,250: 04-2540,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-40,SRP053287,PRJNA251692,432322225,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",452,661553814,Cattle,2004,Pathogen.cl,MB217,USA,North America,USA:NM,Tissue,Apr-40,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792003,WGS,SAMN03300361,USDA-NVSL-DBL,public,SRX867665,Illumina MiSeq,250: 06-2548,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jun-48,SRP053287,PRJNA251692,332989799,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",456,460256392,Cattle,2006,Pathogen.cl,MB312,Mexico,North America,Mexico,Tissue,Jun-48,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791909,WGS,SAMN03300267,USDA-NVSL-DBL,public,SRX867571,Illumina MiSeq,250: 04-2550,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-50,SRP053287,PRJNA251692,266551091,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",444,431535689,Cattle,2004,Pathogen.cl,MB218,Mexico,North America,Mexico,Tissue,Apr-50,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792004,WGS,SAMN03300362,USDA-NVSL-DBL,public,SRX867666,Illumina MiSeq,250: 06-2550,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jun-50,SRP053287,PRJNA251692,256682649,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",458,352675783,Cattle,2006,Pathogen.cl,MB313,Mexico,North America,Mexico,Tissue,Jun-50,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791910,WGS,SAMN03300268,USDA-NVSL-DBL,public,SRX867572,Illumina MiSeq,250: 04-2560,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-60,SRP053287,PRJNA251692,147441589,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",461,225757779,Cattle,2004,Pathogen.cl,MB219,Mexico,North America,Mexico,Tissue,Apr-60,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792112,WGS,SAMN03300470,USDA-NVSL-DBL,public,SRX867774,Illumina MiSeq,250: 08-2564,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Aug-64,SRP053287,PRJNA251692,652207231,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",458,1026631651,Cattle,2008,Pathogen.cl,MB421,USA,North America,USA:MI,Tissue,Aug-64,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791721,WGS,SAMN03300079,USDA-NVSL-DBL,public,SRX867383,Illumina MiSeq,250: 01-2567,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jan-67,SRP053287,PRJNA251692,64910273,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",476,114809238,Cattle,2001,Pathogen.cl,MB30,USA,North America,USA:MO,Tissue,Jan-67,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791943,WGS,SAMN03300301,USDA-NVSL-DBL,public,SRX867605,Illumina MiSeq,250: 05-2592,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,May-92,SRP053287,PRJNA251692,302415445,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",484,453249131,Cattle,2005,Pathogen.cl,MB252,Mexico,North America,Mexico,Tissue,May-92,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
