qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
mftF,NC_002945.4,100,1413,0,0,1,1413,797288,798700,0,2610
mftD,NC_002945.4,100,1191,0,0,1,1191,795104,796294,0,2200
mftC,NC_002945.4,100,1176,0,0,1,1176,793926,795101,0,2172
group_1809,NC_002945.4,100,330,0,0,1,330,793600,793929,2.21E-175,610
group_1951,NC_002945.4,100,90,0,0,1,90,793526,793615,1.32E-42,167
group_1967,NC_002945.4,100,1050,0,0,1,1050,792842,791793,0,1940
group_378,NC_002945.4,100,249,0,0,1,249,790941,791189,1.74E-130,460
group_601,NC_002945.4,100,798,0,0,1,798,787918,788715,0,1474
tuf,NC_002945.4,100,1191,0,0,1,1191,786590,787780,0,2200
fusA,NC_002945.4,100,2106,0,0,1,2106,784254,786359,0,3890
rpsG,NC_002945.4,100,471,0,0,1,471,783703,784173,0,870
rpsL,NC_002945.4,100,375,0,0,1,375,783329,783703,0,693
group_1466,NC_002945.4,100,657,0,0,1,657,782424,783080,0,1214
group_1365,NC_002945.4,100,375,0,0,1,375,782185,781811,0,693
group_93,NC_002945.4,100,498,0,0,1,498,781809,781312,0,920
mmpR5,NC_002945.4,100,498,0,0,1,498,780759,781256,0,920
mmpS5,NC_002945.4,100,429,0,0,1,429,780674,780246,0,793
caiD_1,NC_002945.4,100,792,0,0,1,792,776552,777343,0,1463
group_1121,NC_002945.4,100,723,0,0,1,723,775833,776555,0,1336
group_2108,NC_002945.4,100,939,0,0,1,939,774892,775830,0,1735
aidB,NC_002945.4,100,1629,0,0,1,1629,773253,774881,0,3009
end,NC_002945.4,100,759,0,0,1,759,771561,772319,0,1402
rpoC,NC_002945.4,100,3951,0,0,1,3951,765139,769089,0,7297
rpoB,NC_002945.4,100,3519,0,0,1,3519,761576,765094,0,6499
vapC5_1,NC_002945.4,100,339,0,0,1,339,760570,760908,2.26E-180,627
group_21,NC_002945.4,100,273,0,0,1,273,760301,760573,8.77E-144,505
group_266,NC_002945.4,100,255,0,0,1,255,757792,757538,8.26E-134,472
vapC,NC_002945.4,99.32,441,0,1,1,441,757541,757104,0,795
mazF2,NC_002945.4,100,234,0,0,1,234,756687,756454,3.55E-122,433
group_196,NC_002945.4,100,717,0,0,1,717,756178,755462,0,1325
group_1627,NC_002945.4,100,156,0,0,1,156,755386,755231,5.19E-79,289
group_1933,NC_002945.4,100,252,0,0,1,252,755004,754753,3.79E-132,466
mkl,NC_002945.4,100,1011,0,0,1,1011,753355,754365,0,1868
rplL,NC_002945.4,100,393,0,0,1,393,750618,751010,0,726
rplJ,NC_002945.4,100,537,0,0,1,537,750045,750581,0,992
group_1243,NC_002945.4,100,1467,0,0,1,1467,743853,742387,0,2710
group_1243,NC_002945.4,96.296,54,2,0,1,54,743818,743871,5.99E-18,89.8
rdmC,NC_002945.4,99.89,906,1,0,1,906,742375,741470,0,1668
mmaA1,NC_002945.4,100,861,0,0,1,861,741423,740563,0,1591
cmaC,NC_002945.4,100,921,0,0,1,921,740453,739533,0,1701
cmaC,NC_002945.4,84.964,419,59,4,73,489,562715,562299,3.24E-118,422
cmaC,NC_002945.4,75.723,865,190,16,65,919,3765180,3764326,1.51E-116,416
cmaC,NC_002945.4,75.679,847,190,15,83,921,739342,738504,2.52E-114,409
mmaA3,NC_002945.4,100,882,0,0,1,882,739385,738504,0,1629
mmaA3,NC_002945.4,75.65,846,192,13,44,882,740371,739533,2.41E-114,409
mmaA3,NC_002945.4,72.727,836,210,17,50,877,3765156,3764331,5.53E-71,265
rplA,NC_002945.4,100,708,0,0,1,708,736753,737460,0,1308
rplK,NC_002945.4,100,429,0,0,1,429,736258,736686,0,793
nusG,NC_002945.4,100,717,0,0,1,717,735490,736206,0,1325
secE,NC_002945.4,100,486,0,0,1,486,734973,735458,0,898
group_70,NC_002945.4,100,501,0,0,1,501,734061,734561,0,926
group_834,NC_002945.4,100,429,0,0,1,429,733629,734057,0,793
group_1822,NC_002945.4,100,477,0,0,1,477,733166,733642,0,881
rpmG2_1,NC_002945.4,100,168,0,0,1,168,732948,733115,1.20E-85,311
group_1018,NC_002945.4,100,213,0,0,1,213,732388,732600,1.51E-110,394
baeB,NC_002945.4,100,714,0,0,1,714,732269,731556,0,1319
group_1801,NC_002945.4,100,852,0,0,1,852,731423,730572,0,1574
caiD_2,NC_002945.4,100,696,0,0,1,696,730523,729828,0,1286
recD,NC_002945.4,100,1728,0,0,1,1728,722978,721251,0,3192
vapC5_2,NC_002945.4,100,408,0,0,1,408,719528,719935,0,754
vapB5,NC_002945.4,100,261,0,0,1,261,719271,719531,3.91E-137,483
group_1003,NC_002945.4,100,741,0,0,1,741,719139,718399,0,1369
group_1003,NC_002945.4,76.955,243,46,8,25,261,2559136,2559374,1.76E-30,130
group_511,NC_002945.4,100,396,0,0,1,396,717910,718305,0,732
group_263,NC_002945.4,100,255,0,0,1,255,717656,717910,8.26E-134,472
group_2095,NC_002945.4,100,948,0,0,1,948,716616,717563,0,1751
group_1815,NC_002945.4,99.914,1158,1,0,1,1158,715448,716605,0,2134
galK,NC_002945.4,100,1092,0,0,1,1092,713962,715053,0,2017
group_1776,NC_002945.4,100,1185,0,0,1,1185,712781,713965,0,2189
group_1776,NC_002945.4,94.937,79,4,0,89,167,710830,710908,1.32E-28,124
group_1128,NC_002945.4,99.751,402,1,0,1,402,712251,712652,0,737
group_782,NC_002945.4,100,228,0,0,1,228,712027,712254,7.46E-119,422
group_538,NC_002945.4,100,240,0,0,1,240,711593,711832,1.68E-125,444
group_959,NC_002945.4,100,750,0,0,1,750,710844,711593,0,1386
group_959,NC_002945.4,95.385,65,3,0,1,65,712883,712947,1.08E-22,104
group_2008,NC_002945.4,100,549,0,0,1,549,707626,708174,0,1014
group_895,NC_002945.4,100,222,0,0,1,222,707427,707206,1.57E-115,411
group_1816,NC_002945.4,100,1158,0,0,1,1158,707154,705997,0,2139
group_1129,NC_002945.4,100,402,0,0,1,402,704731,705132,0,743
group_441,NC_002945.4,100,246,0,0,1,246,704489,704734,7.99E-129,455
group_346,NC_002945.4,100,471,0,0,1,471,703974,704444,0,870
group_988,NC_002945.4,100,744,0,0,1,744,703261,704004,0,1375
group_988,NC_002945.4,82.514,692,115,6,25,713,3062518,3061830,8.66E-173,603
group_988,NC_002945.4,82.006,678,108,13,28,698,3156446,3155776,4.09E-161,564
tcrA,NC_002945.4,100,696,0,0,1,696,700978,700283,0,1286
group_2063,NC_002945.4,100,531,0,0,1,531,700299,699769,0,981
group_34,NC_002945.4,100,507,0,0,1,507,699655,699149,0,937
group_590,NC_002945.4,100,237,0,0,1,237,699045,698809,7.73E-124,438
group_1005,NC_002945.4,100,414,0,0,1,414,698812,698399,0,765
group_1451,NC_002945.4,100,174,0,0,1,174,698265,698438,5.79E-89,322
vapC4,NC_002945.4,100,396,0,0,1,396,696479,696084,0,732
group_377,NC_002945.4,100,468,0,0,1,468,694010,694477,0,865
group_1271,NC_002945.4,100,1446,0,0,1,1446,690303,691748,0,2671
group_1678,NC_002945.4,100,1215,0,0,1,1215,688064,689278,0,2244
group_1678,NC_002945.4,75.198,883,188,26,91,956,198819,199687,4.36E-108,388
group_1678,NC_002945.4,82.573,241,34,7,979,1215,199854,200090,4.71E-53,206
mce2R,NC_002945.4,100,723,0,0,1,723,685653,686375,0,1336
group_974,NC_002945.4,100,216,0,0,1,216,678953,679168,3.29E-112,399
group_1887,NC_002945.4,100,579,0,0,1,579,678946,678368,0,1070
group_887,NC_002945.4,100,759,0,0,1,759,677481,678239,0,1402
group_1512,NC_002945.4,100,168,0,0,1,168,666843,666676,1.20E-85,311
group_1692,NC_002945.4,100,342,0,0,1,342,666625,666284,0,632
group_1840,NC_002945.4,100,123,0,0,1,123,666287,666165,8.68E-61,228
group_1441,NC_002945.4,100,1332,0,0,1,1332,666060,664729,0,2460
group_83,NC_002945.4,100,267,0,0,1,267,662246,662512,1.85E-140,494
oxyT,NC_002945.4,100,1023,0,0,1,1023,659561,660583,0,1890
ethA_1,NC_002945.4,100,1461,0,0,1,1461,658713,657253,0,2699
htpX,NC_002945.4,100,861,0,0,1,861,655122,655982,0,1591
hepT_1,NC_002945.4,100,990,0,0,1,990,654032,655021,0,1829
menJ,NC_002945.4,100,1227,0,0,1,1227,653998,652772,0,2266
group_1098,NC_002945.4,100,726,0,0,1,726,652747,652022,0,1341
group_1741,NC_002945.4,100,339,0,0,1,339,651988,651650,2.26E-180,627
menG,NC_002945.4,99.858,705,1,0,1,705,650932,651636,0,1297
group_1,NC_002945.4,100,516,0,0,1,516,649202,649717,0,953
menD,NC_002945.4,100,1665,0,0,1,1665,647541,649205,0,3075
bpoC_1,NC_002945.4,100,789,0,0,1,789,646710,647498,0,1458
menC,NC_002945.4,100,981,0,0,1,981,645733,646713,0,1812
lcfB_2,NC_002945.4,100,1617,0,0,1,1617,643955,642339,0,2987
vapB3,NC_002945.4,100,219,0,0,1,219,642099,641881,7.19E-114,405
vapC3_1,NC_002945.4,100,309,0,0,1,309,641884,641576,9.74E-164,571
group_1277,NC_002945.4,100,387,0,0,1,387,639213,638827,0,715
group_1589,NC_002945.4,100,1254,0,0,1,1254,638707,637454,0,2316
group_2102,NC_002945.4,100,279,0,0,1,279,637457,637179,4.15E-147,516
group_1971,NC_002945.4,100,303,0,0,1,303,637119,636817,2.06E-160,560
menE_1,NC_002945.4,100,1089,0,0,1,1089,636748,635660,0,2012
group_1402,NC_002945.4,100,1350,0,0,1,1350,635648,634299,0,2494
group_1426,NC_002945.4,100,663,0,0,1,663,633616,634278,0,1225
group_1875,NC_002945.4,100,318,0,0,1,318,623479,623796,9.97E-169,588
ccsA,NC_002945.4,100,975,0,0,1,975,621041,622015,0,1801
group_733,NC_002945.4,100,780,0,0,1,780,618643,619422,0,1441
resA_1,NC_002945.4,100,612,0,0,1,612,618035,618646,0,1131
hemL,NC_002945.4,100,1389,0,0,1,1389,615985,617373,0,2566
group_1204,NC_002945.4,100,396,0,0,1,396,615871,615476,0,732
group_1959,NC_002945.4,100,306,0,0,1,306,613748,614053,4.48E-162,566
group_1615,NC_002945.4,100,351,0,0,1,351,613405,613755,0,649
group_259,NC_002945.4,100,858,0,0,1,858,613179,612322,0,1585
group_1865,NC_002945.4,100,117,0,0,1,117,612201,612085,1.77E-57,217
group_1270,NC_002945.4,100,696,0,0,1,696,611339,612034,0,1286
group_284,NC_002945.4,100,477,0,0,1,477,609686,609210,0,881
group_22,NC_002945.4,100,273,0,0,1,273,2691679,2691951,8.77E-144,505
nadD,NC_002945.4,100,636,0,0,1,636,2691404,2690769,0,1175
rsfS,NC_002945.4,100,376,0,0,1,376,2690772,2690397,0,695
gpgP,NC_002945.4,100,672,0,0,1,672,2690395,2689724,0,1242
octT,NC_002945.4,100,744,0,0,1,744,2689734,2688991,0,1375
group_340,NC_002945.4,100,843,0,0,1,843,2688910,2688068,0,1557
group_2067,NC_002945.4,100,969,0,0,1,969,2683914,2682946,0,1790
rpsT,NC_002945.4,100,261,0,0,1,261,2682670,2682930,3.91E-137,483
group_939,NC_002945.4,100,1656,0,0,1,1656,2682560,2680905,0,3059
group_2054,NC_002945.4,99.898,978,1,0,1,978,2680905,2679928,0,1801
group_355,NC_002945.4,100,840,0,0,1,840,2679928,2679089,0,1552
rbn_1,NC_002945.4,100,843,0,0,1,843,2677177,2678019,0,1557
group_835,NC_002945.4,100,429,0,0,1,429,2676917,2676489,0,793
lepA,NC_002945.4,100,1962,0,0,1,1962,2675728,2673767,0,3624
group_1263,NC_002945.4,100,195,0,0,1,195,2670716,2670522,1.39E-100,361
cysH,NC_002945.4,99.869,765,1,0,1,765,2658849,2659613,0,1408
sir,NC_002945.4,100,1668,0,0,1,1668,2657185,2658852,0,3081
mbtI,NC_002945.4,100,1353,0,0,1,1353,2652487,2651135,0,2499
aes_2,NC_002945.4,100,921,0,0,1,921,2650211,2651131,0,1701
mbtA,NC_002945.4,100,1698,0,0,1,1698,2648418,2650115,0,3136
mbtB,NC_002945.4,100,4245,0,0,1,4245,2648319,2644075,0,7840
lgrD,NC_002945.4,100,4386,0,0,1,4386,2634567,2630182,0,8100
mbtG,NC_002945.4,100,1296,0,0,1,1296,2630185,2628890,0,2394
mbtH,NC_002945.4,100,216,0,0,1,216,2628912,2628697,3.29E-112,399
group_35,NC_002945.4,100,507,0,0,1,507,2628597,2628091,0,937
group_1876,NC_002945.4,100,318,0,0,1,318,2627747,2628064,9.97E-169,588
