Name	n_Nucleotides	n_Sequences	Percent_GC	Percent_Identical Sites	Percent_Pairwise_Identity	Created	Created Date	Description	Free end gaps	Max Sequence Length	Mean Coverage	Min Sequence Length	Modified	Ref Seq Index	Ref Seq Length	Ref Seq Name	Sequence_Length	Size	Topology	URN
aes_3.aln	908868	851	64.4%	99.5%	100.0%	Tue Oct 05 22:13:09 EDT 2021	Tue Oct 05 22:13:09 EDT 2021	Alignment of 851 sequences	true	1068	851.0	1068	Wed Oct 06 07:29:13 EDT 2021	-1	0		1068	264 KB	linear	urn:local:.:om0-dxz06zn
aes_3~~~lipF.aln	837384	851	63.9%	99.4%	100.0%	Tue Oct 05 22:13:09 EDT 2021	Tue Oct 05 22:13:09 EDT 2021	Alignment of 851 sequences	true	984	851.0	984	Wed Oct 06 07:29:13 EDT 2021	-1	0		984	244 KB	linear	urn:local:.:om1-dxz06zn
aftA.aln	1610943	851	68.9%	99.4%	100.0%	Tue Oct 05 22:13:09 EDT 2021	Tue Oct 05 22:13:09 EDT 2021	Alignment of 851 sequences	true	1893	851.0	1893	Wed Oct 06 07:29:12 EDT 2021	-1	0		1893	437 KB	linear	urn:local:.:om2-dxz06zn
aftC.aln	1108002	851	63.3%	99.5%	100.0%	Tue Oct 05 22:13:09 EDT 2021	Tue Oct 05 22:13:09 EDT 2021	Alignment of 851 sequences	true	1302	851.0	1302	Wed Oct 06 07:29:12 EDT 2021	-1	0		1302	314 KB	linear	urn:local:.:om3-dxz06zn
aftD.aln	3576753	851	71.6%	99.7%	100.0%	Tue Oct 05 22:13:10 EDT 2021	Tue Oct 05 22:13:10 EDT 2021	Alignment of 851 sequences	true	4203	851.0	4203	Wed Oct 06 07:29:12 EDT 2021	-1	0		4203	919 KB	linear	urn:local:.:om4-dxz06zn
ahcY.aln	1266288	851	63.7%	99.5%	100.0%	Tue Oct 05 22:13:11 EDT 2021	Tue Oct 05 22:13:11 EDT 2021	Alignment of 851 sequences	true	1488	851.0	1488	Wed Oct 06 07:29:12 EDT 2021	-1	0		1488	352 KB	linear	urn:local:.:om5-dxz06zn
ahpC.aln	349761	851	61.8%	99.5%	100.0%	Tue Oct 05 22:13:11 EDT 2021	Tue Oct 05 22:13:11 EDT 2021	Alignment of 851 sequences	true	411	851.0	411	Wed Oct 06 07:29:12 EDT 2021	-1	0		411	125 KB	linear	urn:local:.:om6-dxz06zn
ahpD.aln	454434	851	60.5%	99.8%	100.0%	Tue Oct 05 22:13:11 EDT 2021	Tue Oct 05 22:13:11 EDT 2021	Alignment of 851 sequences	true	534	851.0	534	Wed Oct 06 07:29:12 EDT 2021	-1	0		534	151 KB	linear	urn:local:.:om7-dxz06zn
ahpE.aln	393162	851	62.8%	99.8%	100.0%	Tue Oct 05 22:13:12 EDT 2021	Tue Oct 05 22:13:12 EDT 2021	Alignment of 851 sequences	true	462	851.0	462	Wed Oct 06 07:29:12 EDT 2021	-1	0		462	136 KB	linear	urn:local:.:om8-dxz06zn
aidB.aln	1386279	851	66.8%	99.3%	100.0%	Tue Oct 05 22:13:12 EDT 2021	Tue Oct 05 22:13:12 EDT 2021	Alignment of 851 sequences	true	1629	851.0	1629	Wed Oct 06 07:29:12 EDT 2021	-1	0		1629	382 KB	linear	urn:local:.:om9-dxz06zn
alaC.aln	926739	851	68.6%	99.7%	100.0%	Tue Oct 05 22:13:12 EDT 2021	Tue Oct 05 22:13:12 EDT 2021	Alignment of 851 sequences	true	1089	851.0	1089	Wed Oct 06 07:29:11 EDT 2021	-1	0		1089	269 KB	linear	urn:local:.:oma-dxz06zn
alaS.aln	2310465	851	65.7%	99.8%	100.0%	Tue Oct 05 22:13:12 EDT 2021	Tue Oct 05 22:13:12 EDT 2021	Alignment of 851 sequences	true	2715	851.0	2715	Wed Oct 06 07:29:11 EDT 2021	-1	0		2715	608 KB	linear	urn:local:.:omb-dxz06zn
ald2~~~drdA.aln	454434	851	68.2%	99.6%	100.0%	Tue Oct 05 22:13:13 EDT 2021	Tue Oct 05 22:13:13 EDT 2021	Alignment of 851 sequences	true	534	851.0	534	Wed Oct 06 07:29:11 EDT 2021	-1	0		534	151 KB	linear	urn:local:.:omc-dxz06zn
ald.aln	528471	851	64.4%	99.8%	100.0%	Tue Oct 05 22:13:13 EDT 2021	Tue Oct 05 22:13:13 EDT 2021	Alignment of 851 sequences	true	621	851.0	621	Wed Oct 06 07:29:11 EDT 2021	-1	0		621	169 KB	linear	urn:local:.:omd-dxz06zn
aldH1.aln	1253523	851	64.2%	99.8%	100.0%	Tue Oct 05 22:13:13 EDT 2021	Tue Oct 05 22:13:13 EDT 2021	Alignment of 851 sequences	true	1473	851.0	1473	Wed Oct 06 07:29:11 EDT 2021	-1	0		1473	350 KB	linear	urn:local:.:ome-dxz06zn
algC.aln	1189698	851	64.7%	99.6%	100.0%	Tue Oct 05 22:13:14 EDT 2021	Tue Oct 05 22:13:14 EDT 2021	Alignment of 851 sequences	true	1398	851.0	1398	Wed Oct 06 07:29:11 EDT 2021	-1	0		1398	334 KB	linear	urn:local:.:omf-dxz06zn
alkA.aln	1064601	851	68.3%	99.5%	100.0%	Tue Oct 05 22:13:14 EDT 2021	Tue Oct 05 22:13:14 EDT 2021	Alignment of 851 sequences	true	1251	851.0	1251	Wed Oct 06 07:29:11 EDT 2021	-1	0		1251	303 KB	linear	urn:local:.:omg-dxz06zn
alkB.aln	1064601	851	64.1%	99.5%	100.0%	Tue Oct 05 22:13:14 EDT 2021	Tue Oct 05 22:13:14 EDT 2021	Alignment of 851 sequences	true	1251	851.0	1251	Wed Oct 06 07:29:11 EDT 2021	-1	0		1251	303 KB	linear	urn:local:.:omh-dxz06zn
alkG.aln	145521	851	62.0%	100.0%	100.0%	Tue Oct 05 22:13:14 EDT 2021	Tue Oct 05 22:13:14 EDT 2021	Alignment of 851 sequences	true	171	851.0	171	Wed Oct 06 07:29:11 EDT 2021	-1	0		171	75 KB	linear	urn:local:.:omi-dxz06zn
alr.aln	1044177	851	66.0%	99.6%	100.0%	Tue Oct 05 22:13:15 EDT 2021	Tue Oct 05 22:13:15 EDT 2021	Alignment of 851 sequences	true	1227	851.0	1227	Wed Oct 06 07:29:11 EDT 2021	-1	0		1227	298 KB	linear	urn:local:.:omj-dxz06zn
amhM.aln	411033	851	65.0%	99.8%	100.0%	Tue Oct 05 22:13:15 EDT 2021	Tue Oct 05 22:13:15 EDT 2021	Alignment of 851 sequences	true	483	851.0	483	Wed Oct 06 07:29:11 EDT 2021	-1	0		483	140 KB	linear	urn:local:.:omk-dxz06zn
amiA2.aln	1235652	851	67.9%	99.7%	100.0%	Tue Oct 05 22:13:15 EDT 2021	Tue Oct 05 22:13:15 EDT 2021	Alignment of 851 sequences	true	1452	851.0	1452	Wed Oct 06 07:29:10 EDT 2021	-1	0		1452	345 KB	linear	urn:local:.:oml-dxz06zn
amiB2.aln	1182039	851	68.0%	99.9%	100.0%	Tue Oct 05 22:13:15 EDT 2021	Tue Oct 05 22:13:15 EDT 2021	Alignment of 851 sequences	true	1389	851.0	1389	Wed Oct 06 07:29:10 EDT 2021	-1	0		1389	332 KB	linear	urn:local:.:omm-dxz06zn
amiC.aln	1210122	851	66.9%	99.7%	100.0%	Tue Oct 05 22:13:16 EDT 2021	Tue Oct 05 22:13:16 EDT 2021	Alignment of 851 sequences	true	1422	851.0	1422	Wed Oct 06 07:29:10 EDT 2021	-1	0		1422	339 KB	linear	urn:local:.:omn-dxz06zn
amiD_1.aln	97014	851	69.3%	99.1%	100.0%	Tue Oct 05 22:13:16 EDT 2021	Tue Oct 05 22:13:16 EDT 2021	Alignment of 851 sequences	true	114	851.0	114	Wed Oct 06 07:29:10 EDT 2021	-1	0		114	63 KB	linear	urn:local:.:omo-dxz06zn
ansA.aln	822066	851	69.9%	99.9%	100.0%	Tue Oct 05 22:13:16 EDT 2021	Tue Oct 05 22:13:16 EDT 2021	Alignment of 851 sequences	true	966	851.0	966	Wed Oct 06 07:29:10 EDT 2021	-1	0		966	241 KB	linear	urn:local:.:omp-dxz06zn
ansP1.aln	173604	851	58.8%	99.0%	100.0%	Tue Oct 05 22:13:17 EDT 2021	Tue Oct 05 22:13:17 EDT 2021	Alignment of 851 sequences	true	204	851.0	204	Wed Oct 06 07:29:10 EDT 2021	-1	0		204	81 KB	linear	urn:local:.:omq-dxz06zn
aofH.aln	1161615	851	68.3%	99.6%	100.0%	Tue Oct 05 22:13:17 EDT 2021	Tue Oct 05 22:13:17 EDT 2021	Alignment of 851 sequences	true	1365	851.0	1365	Wed Oct 06 07:29:10 EDT 2021	-1	0		1365	327 KB	linear	urn:local:.:omr-dxz06zn
apa.aln	832278	851	69.4%	99.4%	100.0%	Tue Oct 05 22:13:17 EDT 2021	Tue Oct 05 22:13:17 EDT 2021	Alignment of 851 sequences	true	978	851.0	978	Wed Oct 06 07:29:10 EDT 2021	-1	0		978	243 KB	linear	urn:local:.:oms-dxz06zn
apeB.aln	1108002	851	69.1%	99.8%	100.0%	Tue Oct 05 22:13:17 EDT 2021	Tue Oct 05 22:13:17 EDT 2021	Alignment of 851 sequences	true	1302	851.0	1302	Wed Oct 06 07:29:10 EDT 2021	-1	0		1302	314 KB	linear	urn:local:.:omt-dxz06zn
apt.aln	543789	851	69.3%	99.5%	100.0%	Tue Oct 05 22:13:18 EDT 2021	Tue Oct 05 22:13:18 EDT 2021	Alignment of 851 sequences	true	639	851.0	639	Wed Oct 06 07:29:10 EDT 2021	-1	0		639	172 KB	linear	urn:local:.:omu-dxz06zn
araQ_1.aln	702075	851	62.1%	99.8%	100.0%	Tue Oct 05 22:13:18 EDT 2021	Tue Oct 05 22:13:18 EDT 2021	Alignment of 851 sequences	true	825	851.0	825	Wed Oct 06 07:29:09 EDT 2021	-1	0		825	212 KB	linear	urn:local:.:omv-dxz06zn
arcA.aln	712287	851	64.6%	99.9%	100.0%	Tue Oct 05 22:13:18 EDT 2021	Tue Oct 05 22:13:18 EDT 2021	Alignment of 851 sequences	true	837	851.0	837	Wed Oct 06 07:29:09 EDT 2021	-1	0		837	214 KB	linear	urn:local:.:omw-dxz06zn
arfB.aln	130203	851	63.4%	98.7%	100.0%	Tue Oct 05 22:13:18 EDT 2021	Tue Oct 05 22:13:18 EDT 2021	Alignment of 851 sequences	true	153	851.0	153	Wed Oct 06 07:29:09 EDT 2021	-1	0		153	71 KB	linear	urn:local:.:omx-dxz06zn
arfC.aln	390609	851	67.8%	99.1%	100.0%	Tue Oct 05 22:13:18 EDT 2021	Tue Oct 05 22:13:18 EDT 2021	Alignment of 851 sequences	true	459	851.0	459	Wed Oct 06 07:29:09 EDT 2021	-1	0		459	135 KB	linear	urn:local:.:omy-dxz06zn
argA.aln	421245	851	61.4%	100.0%	100.0%	Tue Oct 05 22:13:19 EDT 2021	Tue Oct 05 22:13:19 EDT 2021	Alignment of 851 sequences	true	495	851.0	495	Wed Oct 06 07:29:09 EDT 2021	-1	0		495	142 KB	linear	urn:local:.:omz-dxz06zn
argB.aln	653568	851	68.9%	99.6%	100.0%	Tue Oct 05 22:13:19 EDT 2021	Tue Oct 05 22:13:19 EDT 2021	Alignment of 851 sequences	true	768	851.0	768	Wed Oct 06 07:29:09 EDT 2021	-1	0		768	199 KB	linear	urn:local:.:on0-dxz06zn
argD.aln	753135	851	72.8%	99.7%	100.0%	Tue Oct 05 22:13:19 EDT 2021	Tue Oct 05 22:13:19 EDT 2021	Alignment of 851 sequences	true	885	851.0	885	Wed Oct 06 07:29:09 EDT 2021	-1	0		885	224 KB	linear	urn:local:.:on1-dxz06zn
argF.aln	786324	851	68.8%	99.9%	100.0%	Tue Oct 05 22:13:19 EDT 2021	Tue Oct 05 22:13:19 EDT 2021	Alignment of 851 sequences	true	924	851.0	924	Wed Oct 06 07:29:09 EDT 2021	-1	0		924	232 KB	linear	urn:local:.:on2-dxz06zn
argG.aln	1018647	851	67.8%	99.7%	100.0%	Tue Oct 05 22:13:20 EDT 2021	Tue Oct 05 22:13:20 EDT 2021	Alignment of 851 sequences	true	1197	851.0	1197	Wed Oct 06 07:29:09 EDT 2021	-1	0		1197	292 KB	linear	urn:local:.:on3-dxz06zn
argH.aln	1202463	851	71.1%	99.9%	100.0%	Tue Oct 05 22:13:20 EDT 2021	Tue Oct 05 22:13:20 EDT 2021	Alignment of 851 sequences	true	1413	851.0	1413	Wed Oct 06 07:29:09 EDT 2021	-1	0		1413	337 KB	linear	urn:local:.:on4-dxz06zn
argJ.aln	1033965	851	71.2%	99.8%	100.0%	Tue Oct 05 22:13:20 EDT 2021	Tue Oct 05 22:13:20 EDT 2021	Alignment of 851 sequences	true	1215	851.0	1215	Wed Oct 06 07:29:09 EDT 2021	-1	0		1215	295 KB	linear	urn:local:.:on5-dxz06zn
argO_1.aln	227217	851	65.5%	100.0%	100.0%	Tue Oct 05 22:13:20 EDT 2021	Tue Oct 05 22:13:20 EDT 2021	Alignment of 851 sequences	true	267	851.0	267	Wed Oct 06 07:29:08 EDT 2021	-1	0		267	95 KB	linear	urn:local:.:on6-dxz06zn
argR.aln	436563	851	72.9%	99.8%	100.0%	Tue Oct 05 22:13:20 EDT 2021	Tue Oct 05 22:13:20 EDT 2021	Alignment of 851 sequences	true	513	851.0	513	Wed Oct 06 07:29:08 EDT 2021	-1	0		513	147 KB	linear	urn:local:.:on7-dxz06zn
argS.aln	1406703	851	65.2%	99.6%	100.0%	Tue Oct 05 22:13:21 EDT 2021	Tue Oct 05 22:13:21 EDT 2021	Alignment of 851 sequences	true	1653	851.0	1653	Wed Oct 06 07:29:08 EDT 2021	-1	0		1653	387 KB	linear	urn:local:.:on8-dxz06zn
aroA.aln	1151403	851	70.4%	99.3%	100.0%	Tue Oct 05 22:13:21 EDT 2021	Tue Oct 05 22:13:21 EDT 2021	Alignment of 851 sequences	true	1353	851.0	1353	Wed Oct 06 07:29:08 EDT 2021	-1	0		1353	324 KB	linear	urn:local:.:on9-dxz06zn
aroB.aln	926739	851	68.7%	99.7%	100.0%	Tue Oct 05 22:13:21 EDT 2021	Tue Oct 05 22:13:21 EDT 2021	Alignment of 851 sequences	true	1089	851.0	1089	Wed Oct 06 07:29:08 EDT 2021	-1	0		1089	269 KB	linear	urn:local:.:ona-dxz06zn
aroC.aln	1026306	851	73.3%	97.8%	100.0%	Tue Oct 05 22:13:22 EDT 2021	Tue Oct 05 22:13:22 EDT 2021	Alignment of 851 sequences	true	1206	851.0	1206	Wed Oct 06 07:29:08 EDT 2021	-1	0		1206	294 KB	linear	urn:local:.:onb-dxz06zn
aroG.aln	1182039	851	64.1%	99.8%	100.0%	Tue Oct 05 22:13:22 EDT 2021	Tue Oct 05 22:13:22 EDT 2021	Alignment of 851 sequences	true	1389	851.0	1389	Wed Oct 06 07:29:08 EDT 2021	-1	0		1389	332 KB	linear	urn:local:.:onc-dxz06zn
aroK.aln	451881	851	72.7%	99.6%	100.0%	Tue Oct 05 22:13:22 EDT 2021	Tue Oct 05 22:13:22 EDT 2021	Alignment of 851 sequences	true	531	851.0	531	Wed Oct 06 07:29:08 EDT 2021	-1	0		531	150 KB	linear	urn:local:.:ond-dxz06zn
aroQ.aln	377844	851	66.2%	100.0%	100.0%	Tue Oct 05 22:13:22 EDT 2021	Tue Oct 05 22:13:22 EDT 2021	Alignment of 851 sequences	true	444	851.0	444	Wed Oct 06 07:29:08 EDT 2021	-1	0		444	132 KB	linear	urn:local:.:one-dxz06zn
arsB.aln	663780	851	68.8%	99.7%	100.0%	Tue Oct 05 22:13:23 EDT 2021	Tue Oct 05 22:13:23 EDT 2021	Alignment of 851 sequences	true	780	851.0	780	Wed Oct 06 07:29:08 EDT 2021	-1	0		780	202 KB	linear	urn:local:.:onf-dxz06zn
arsC.aln	1243311	851	65.7%	99.5%	100.0%	Tue Oct 05 22:13:23 EDT 2021	Tue Oct 05 22:13:23 EDT 2021	Alignment of 851 sequences	true	1461	851.0	1461	Wed Oct 06 07:29:07 EDT 2021	-1	0		1461	347 KB	linear	urn:local:.:ong-dxz06zo
arsR1.aln	324231	851	67.7%	99.7%	100.0%	Tue Oct 05 22:13:23 EDT 2021	Tue Oct 05 22:13:23 EDT 2021	Alignment of 851 sequences	true	381	851.0	381	Wed Oct 06 07:29:07 EDT 2021	-1	0		381	119 KB	linear	urn:local:.:onh-dxz06zo
asd.aln	883338	851	68.8%	99.9%	100.0%	Tue Oct 05 22:13:23 EDT 2021	Tue Oct 05 22:13:23 EDT 2021	Alignment of 851 sequences	true	1038	851.0	1038	Wed Oct 06 07:29:07 EDT 2021	-1	0		1038	258 KB	linear	urn:local:.:oni-dxz06zo
ask.aln	1077366	851	66.0%	99.7%	100.0%	Tue Oct 05 22:13:23 EDT 2021	Tue Oct 05 22:13:23 EDT 2021	Alignment of 851 sequences	true	1266	851.0	1266	Wed Oct 06 07:29:07 EDT 2021	-1	0		1266	306 KB	linear	urn:local:.:onj-dxz06zo
asnB.aln	1529247	851	65.4%	99.7%	100.0%	Tue Oct 05 22:13:24 EDT 2021	Tue Oct 05 22:13:24 EDT 2021	Alignment of 851 sequences	true	1797	851.0	1797	Wed Oct 06 07:29:07 EDT 2021	-1	0		1797	417 KB	linear	urn:local:.:onk-dxz06zo
asnC.aln	380397	851	65.5%	99.8%	100.0%	Tue Oct 05 22:13:24 EDT 2021	Tue Oct 05 22:13:24 EDT 2021	Alignment of 851 sequences	true	447	851.0	447	Wed Oct 06 07:29:07 EDT 2021	-1	0		447	132 KB	linear	urn:local:.:onl-dxz06zo
aspC_1.aln	1097790	851	64.3%	99.5%	100.0%	Tue Oct 05 22:13:24 EDT 2021	Tue Oct 05 22:13:24 EDT 2021	Alignment of 851 sequences	true	1290	851.0	1290	Wed Oct 06 07:29:07 EDT 2021	-1	0		1290	311 KB	linear	urn:local:.:onm-dxz06zo
aspC_2.aln	993117	851	66.5%	99.5%	100.0%	Tue Oct 05 22:13:25 EDT 2021	Tue Oct 05 22:13:25 EDT 2021	Alignment of 851 sequences	true	1167	851.0	1167	Wed Oct 06 07:29:07 EDT 2021	-1	0		1167	285 KB	linear	urn:local:.:onn-dxz06zo
aspS.aln	1557330	851	67.2%	99.6%	100.0%	Tue Oct 05 22:13:25 EDT 2021	Tue Oct 05 22:13:25 EDT 2021	Alignment of 851 sequences	true	1830	851.0	1830	Wed Oct 06 07:29:07 EDT 2021	-1	0		1830	424 KB	linear	urn:local:.:ono-dxz06zo
atl.aln	260406	851	66.3%	99.7%	100.0%	Tue Oct 05 22:13:25 EDT 2021	Tue Oct 05 22:13:25 EDT 2021	Alignment of 851 sequences	true	306	851.0	306	Wed Oct 06 07:29:07 EDT 2021	-1	0		306	103 KB	linear	urn:local:.:onp-dxz06zo
atpA.aln	164243	851	59.6%	91.2%	100.0%	Tue Oct 05 22:13:25 EDT 2021	Tue Oct 05 22:13:25 EDT 2021	Alignment of 851 sequences	true	193	851.0	193	Wed Oct 06 07:29:06 EDT 2021	-1	0		193	80 KB	linear	urn:local:.:onq-dxz06zo
