"","Sequence_ID","Assembly","X..contigs.....0.bp.","X..contigs.....1000.bp.","X..contigs.....5000.bp.","X..contigs.....10000.bp.","X..contigs.....25000.bp.","X..contigs.....50000.bp.","Total.length.....0.bp.","Total.length.....1000.bp.","Total.length.....5000.bp.","Total.length.....10000.bp.","Total.length.....25000.bp.","Total.length.....50000.bp.","X..contigs","Largest.contig","Total.length","Reference.length","GC....","Reference.GC....","N50","NG50","N75","NG75","L50","LG50","L75","LG75","X..misassemblies","X..misassembled.contigs","Misassembled.contigs.length","X..local.misassemblies","X..scaffold.gap.ext..mis.","X..scaffold.gap.loc..mis.","X..unaligned.mis..contigs","X..unaligned.contigs","Unaligned.length","Genome.fraction....","Duplication.ratio","X..N.s.per.100.kbp","X..mismatches.per.100.kbp","X..indels.per.100.kbp","X..genomic.features","Largest.alignment","Total.aligned.length","NA50","NGA50","NA75","NGA75","LA50","LGA50","LA75","LGA75contigs"
"25","SAMN06252116_assembled"," contigs ",218,80,60,55,46,35,4324707,4291256,4250866,4221095,4053211,3661761,92,290192,4300284,4349904,65.61,65.63,97859,97859,63033,63033,14,14,28,28,4,3,667231,7,0,0,0," 0 + 0 part ",0,98.804,1.001,0,13.43,2.65," 7946 + 111 part ",281663,4299468,96235,96235,60576,60576,16,"16",31," 31 \\ \hline"
"26","SAMN06252306_assembled"," contigs ",242,81,61,54,45,32,4325841,4287688,4247827,4199891,4033052,3562477,92,290192,4296269,4349904,65.61,65.63,98740,98740,64093,64093,14,14,27,27,5,4,827166,6,0,0,0," 0 + 0 part ",0,98.738,1,0,13.39,2.68," 7934 + 125 part ",281663,4295093,96235,96235,61113,60576,16,"16",30," 31 \\ \hline"
"27","SAMN09725373_assembled"," contigs ",172,79,57,50,42,32,4324797,4301649,4257402,4207269,4064311,3719932,92,290576,4311426,4349904,65.62,65.63,109458,109458,66426,65003,13,13,24,25,2,2,474499,3,0,0,0," 0 + 1 part ",761,99.067,1,0,4.43,1.55," 7994 + 99 part ",281677,4310462,106297,106297,65000,64348,14,"14",26," 27 \\ \hline"
"28","SAMN03300166_assembled"," contigs ",159,76,59,58,48,31,4331166,4295276,4264159,4258937,4101977,3480441,93,256748,4307448,4349904,65.57,65.63,108507,108507,58318,58318,13,13,27,27,6,5,110809,13,0,0,0," 0 + 0 part ",0,98.866,1.002,0,10.14,1.86," 7956 + 155 part ",256580,4302736,108507,108507,58318,58318,13,"13",27," 27 \\ \hline"
"29","SAMN06252148_assembled"," contigs ",219,80,59,53,45,33,4325831,4291108,4248129,4206867,4055858,3629698,93,290985,4301099,4349904,65.61,65.63,103881,101766,64093,63033,13,14,26,27,4,3,667968,7,0,0,0," 1 + 0 part ",865,98.822,1,0,13.28,2.81," 7946 + 111 part ",281663,4298878,98740,98740,61113,60576,15,"15",29," 30 \\ \hline"
"30","SAMN06252232_assembled"," contigs ",231,76,55,50,43,33,4330259,4289753,4245223,4208038,4081362,3744644,93,290576,4302327,4349904,65.62,65.63,105685,103736,65003,65003,12,13,25,25,2,2,474499,2,0,0,0," 0 + 0 part ",0,98.89,1,0,4.93,1.39," 7966 + 99 part ",281677,4302149,101775,101775,64348,64348,14,"14",27," 27 \\ \hline"
"31","SAMN09725468_assembled"," contigs ",126,76,51,49,38,29,4316754,4295786,4250298,4236042,4033911,3674889,93,370962,4306518,4349904,65.58,65.63,157583,157583,62171,62171,11,11,22,22,6,5,622279,9,0,0,0," 8 + 1 part ",5461,98.757,1.001,0,16.39,2.58," 7954 + 131 part ",370958,4297714,133394,133394,61670,61670,11,"11",23," 23 \\ \hline"
"32","SAMN09725699_assembled"," contigs ",156,80,59,54,42,34,4341824,4309691,4267060,4234602,4017841,3728621,93,229934,4318516,4349904,65.56,65.63,100614,100614,64237,64237,13,13,26,26,2,1,193248,8,0,0,0," 3 + 0 part ",6763,98.93,1.002,0,14.29,2.44," 7960 + 121 part ",229934,4307332,98883,98883,63607,63607,14,"14",27," 27 \\ \hline"
"33","SAMN03300399_assembled"," contigs ",120,79,61,54,45,31,4299099,4280653,4249192,4200508,4053958,3525037,94,290323,4291613,4349904,65.6,65.63,107838,107838,57308,57308,13,13,26,26,7,6,260983,13,0,0,0," 0 + 2 part ",3352,98.397,1.002,0,17.48,2.87," 7920 + 129 part ",290134,4283680,105883,105883,54912,53699,13,"13",27," 28 \\ \hline"
"34","SAMN03300679_assembled"," contigs ",182,79,59,52,46,31,4351420,4308173,4268788,4215573,4111793,3570086,94,328347,4318793,4349904,65.59,65.63,108000,108000,59816,58259,12,12,25,26,4,3,122287,10,0,0,0," 2 + 1 part ",2046,99.107,1.001,0,8.93,1.67," 7978 + 143 part ",328303,4313106,107881,107881,58259,56742,12,"12",25," 26 \\ \hline"
"35","SAMN06252141_assembled"," contigs ",207,81,60,53,44,34,4321509,4290378,4248681,4200666,4029857,3683603,94,290192,4300365,4349904,65.62,65.63,98740,98740,64899,64899,14,14,27,27,3,2,482915,6,0,0,0," 0 + 0 part ",0,98.833,1,0,13.05,2.86," 7942 + 121 part ",281663,4299431,96242,96242,63033,63033,15,"15",29," 29 \\ \hline"
"36","SAMN06252259_assembled"," contigs ",200,81,60,54,46,34,4321235,4290675,4248978,4208574,4058253,3637243,94,290192,4300662,4349904,65.62,65.63,98740,98740,64084,63033,14,14,27,28,4,3,666781,7,0,0,0," 0 + 0 part ",0,98.827,1,0,12.86,2.68," 7942 + 117 part ",281663,4299263,96235,96235,61113,60576,16,"16",30," 31 \\ \hline"
"37","SAMN06252275_assembled"," contigs ",214,79,60,54,47,35,4324237,4289868,4251345,4211296,4085323,3663429,94,290192,4301313,4349904,65.62,65.63,98740,98740,64093,64093,15,15,28,28,3,2,482914,7,0,0,0," 0 + 0 part ",0,98.851,1,0,13.23,2.79," 7946 + 115 part ",281663,4300591,96241,96241,61113,61113,16,"16",30," 30 \\ \hline"
"38","SAMN09725643_assembled"," contigs ",179,70,50,47,37,30,4358547,4309717,4263411,4244929,4046681,3806790,94,290720,4326860,4349904,65.47,65.63,126803,126803,82449,68256,11,11,21,22,2,2,322084,5,0,0,0," 11 + 0 part ",15887,99.022,1.001,0,4.71,1.28," 7984 + 113 part ",248857,4308809,123272,123272,68256,66579,12,"12",22," 23 \\ \hline"
"39","SAMN03300601_assembled"," contigs ",159,77,58,55,44,30,4331689,4296722,4261294,4242372,4064895,3532412,95,235980,4309454,4349904,65.58,65.63,115766,115766,60485,59955,12,12,25,26,4,4,504815,18,0,0,0," 0 + 1 part ",1114,98.894,1.002,0,13.92,2.49," 7938 + 149 part ",235980,4302542,101797,101797,57529,57529,13,"13",27," 27 \\ \hline"
"40","SAMN03300651_assembled"," contigs ",156,80,59,57,46,27,4346291,4314161,4270653,4254221,4082741,3336556,95,363887,4324349,4349904,65.58,65.63,122307,122307,52476,52476,12,12,26,26,7,6,394462,16,0,0,0," 0 + 2 part ",4200,99.012,1.003,0,20.36,3.09," 7964 + 149 part ",363691,4313647,122173,122173,52416,48639,12,"12",27," 28 \\ \hline"
"41","SAMN06252240_assembled"," contigs ",223,80,59,53,45,34,4326750,4289561,4246887,4205336,4055191,3663326,95,290192,4300887,4349904,65.62,65.63,98740,98740,64084,64084,14,14,27,27,4,3,666781,7,0,0,0," 0 + 0 part ",0,98.83,1,0,13.33,2.79," 7946 + 117 part ",281645,4299540,96224,96224,61113,61113,16,"16",30," 30 \\ \hline"
"42","SAMN03300456_assembled"," contigs ",131,85,63,60,47,27,4313760,4294589,4254494,4233758,4033558,3222497,96,319330,4302780,4349904,65.56,65.63,102099,102099,49864,49864,13,13,28,28,7,6,539665,11,0,0,0," 0 + 0 part ",0,98.738,1.002,0,15.02,2.35," 7934 + 153 part ",319184,4297523,98884,98884,48811,48811,14,"14",30," 30 \\ \hline"
"43","SAMN03300469_assembled"," contigs ",129,82,62,58,50,31,4297517,4278640,4244363,4214072,4090574,3385583,96,256701,4289061,4349904,65.61,65.63,103606,103606,56788,52477,14,14,28,29,4,4,416309,19,0,0,0," 0 + 1 part ",1272,98.401,1.002,0,16.31,3.08," 7914 + 133 part ",256701,4283161,98884,98884,53699,52477,14,"14",29," 30 \\ \hline"
"44","SAMN06252179_assembled"," contigs ",209,78,59,53,46,36,4322184,4287888,4246856,4204943,4078248,3734380,96,281677,4301069,4349904,65.62,65.63,101775,101775,63032,63032,15,15,28,28,1,1,145971,2,0,0,0," 0 + 0 part ",0,98.862,1,0,4.65,1.42," 7964 + 93 part ",281677,4300898,98673,98673,63032,63032,15,"15",29," 29 \\ \hline"
"45","SAMN03300278_assembled"," contigs ",133,80,62,59,48,32,4322059,4297048,4263360,4244085,4057112,3493182,97,236751,4310172,4349904,65.57,65.63,105882,103024,56742,56742,13,14,28,28,6,6,325703,10,0,0,0," 0 + 1 part ",935,98.944,1.001,0,9.43,1.67," 7966 + 155 part ",236751,4306859,103024,103024,56742,52477,14,"14",28," 29 \\ \hline"
"46","SAMN03300637_assembled"," contigs ",150,81,62,58,49,32,4323872,4294102,4252742,4228083,4083459,3440445,97,248267,4305786,4349904,65.55,65.63,98885,96439,57602,57602,14,15,29,29,13,11,898221,12,0,0,0," 1 + 0 part ",537,98.775,1.002,0,14.64,2.51," 7950 + 159 part ",227649,4300394,96328,96328,51190,51190,15,"15",31," 31 \\ \hline"
"47","SAMN03300737_assembled"," contigs ",138,79,61,58,45,30,4319590,4293562,4263858,4242134,4028080,3485296,97,235980,4306858,4349904,65.58,65.63,119857,119857,58318,58318,12,12,26,26,2,2,326400,15,0,0,0," 0 + 0 part ",0,98.833,1.002,0,15.19,2.3," 7936 + 151 part ",235980,4300607,101612,101612,52477,52352,13,"13",27," 28 \\ \hline"
"48","SAMN03300767_assembled"," contigs ",131,81,58,52,45,29,4297047,4275378,4232262,4187615,4063358,3416738,97,293052,4287264,4349904,65.59,65.63,111413,111413,57297,54917,12,12,26,27,7,6,253913,15,0,0,0," 0 + 2 part ",5197,98.219,1.002,0,16.97,2.86," 7902 + 147 part ",292955,4275040,107273,101533,53541,52477,12,"13",27," 28 \\ \hline"
"49","SAMN06252172_assembled"," contigs ",208,80,61,54,46,34,4321868,4289155,4248123,4198161,4055203,3649108,97,281677,4301893,4349904,65.61,65.63,105685,105685,63032,62675,14,14,27,28,1,1,183923,3,0,0,0," 0 + 0 part ",0,98.859,1,0,4.49,1.33," 7962 + 97 part ",281677,4301351,101775,101775,63032,62675,15,"15",28," 29 \\ \hline"
"50","SAMN06252203_assembled"," contigs ",198,79,60,53,46,35,4320819,4290135,4250013,4200693,4074011,3698581,97,290576,4303316,4349904,65.62,65.63,103736,101775,64348,63032,14,15,27,28,2,2,474753,2,0,0,0," 0 + 0 part ",0,98.896,1,0,4.81,1.32," 7966 + 99 part ",281677,4303111,98672,98672,63032,62675,16,"16",29," 30 \\ \hline"
"51","SAMN06252312_assembled"," contigs ",211,84,61,56,46,34,4331678,4300648,4255893,4225308,4045585,3641957,97,290647,4310426,4349904,65.62,65.63,101559,101559,64093,63032,14,14,27,28,4,4,722749,8,0,0,0," 0 + 0 part ",0,99.057,1,0,13.86,2.74," 7984 + 113 part ",281749,4309410,95090,95090,61567,60576,16,"16",30," 31 \\ \hline"
"52","SAMN06252318_assembled"," contigs ",215,81,60,54,47,37,4332727,4300455,4256556,4214068,4087301,3743111,97,281679,4311984,4349904,65.61,65.63,98672,98672,63032,63032,15,15,29,29,0,0,0,4,0,0,0," 0 + 0 part ",0,99.117,1,0,4.52,1.44," 7982 + 117 part ",281679,4311890,98672,98672,63032,63032,15,"15",29," 29 \\ \hline"
"53","SAMN09725638_assembled"," contigs ",208,80,61,54,46,34,4321868,4289155,4248123,4198161,4055203,3649108,97,281677,4301893,4349904,65.61,65.63,105685,105685,63032,62675,14,14,27,28,1,1,183923,3,0,0,0," 0 + 0 part ",0,98.859,1,0,4.49,1.33," 7962 + 97 part ",281677,4301351,101775,101775,63032,62675,15,"15",28," 29 \\ \hline"
"54","SAMN03300398_assembled"," contigs ",125,79,58,54,46,29,4327101,4306228,4266029,4236979,4115484,3465107,98,270089,4319339,4349904,65.59,65.63,102121,102121,59941,59941,12,12,26,26,2,2,246497,9,0,0,0," 0 + 1 part ",1173,99.136,1.001,0,8.7,1.76," 7980 + 143 part ",270089,4314061,101965,101965,59825,59825,12,"12",26," 26 \\ \hline"
"55","SAMN03300529_assembled"," contigs ",129,82,61,57,44,30,4299548,4278599,4239495,4211430,3996555,3481308,98,256724,4290139,4349904,65.6,65.63,111413,110368,58318,58318,13,14,26,26,7,6,352327,16,0,0,0," 1 + 2 part ",4067,98.343,1.002,0,16.39,2.85," 7908 + 141 part ",256724,4280402,111413,109739,58318,54912,13,"14",26," 27 \\ \hline"
"56","SAMN03300535_assembled"," contigs ",125,81,62,57,46,32,4331278,4309869,4273301,4237676,4064371,3537345,98,248470,4322064,4349904,65.59,65.63,98885,98885,60728,60728,13,13,27,27,2,2,287713,9,0,0,0," 0 + 0 part ",0,99.208,1.002,0,8.64,1.69," 7978 + 143 part ",248470,4318357,96549,96549,53407,53407,14,"14",28," 28 \\ \hline"
"57","SAMN06252370_assembled"," contigs ",223,85,63,56,48,35,4322732,4289330,4244891,4196876,4046682,3582514,98,281663,4299317,4349904,65.62,65.63,98741,96242,60659,60576,15,16,29,30,3,2,338637,6,0,0,0," 0 + 0 part ",0,98.802,1,0,12.96,2.77," 7940 + 121 part ",281663,4298476,96235,92230,60576,58245,16,"17",31," 32 \\ \hline"
"58","SAMN03199106_assembled"," contigs ",166,83,57,51,42,31,4337545,4307892,4255538,4212736,4070025,3693381,99,295664,4318543,4349904,65.61,65.63,126858,126858,64461,64461,11,11,24,24,4,4,299193,11,0,0,0," 5 + 0 part ",5069,99.003,1.002,0,14.72,2.6," 7952 + 137 part ",295664,4310863,102030,102030,64238,64238,12,"12",25," 25 \\ \hline"
"59","SAMN03300404_assembled"," contigs ",146,88,65,59,49,32,4326517,4305362,4258737,4214204,4039748,3394881,99,227649,4313116,4349904,65.6,65.63,96529,96529,52920,52361,14,14,29,30,2,2,219005,16,0,0,0," 0 + 0 part ",0,98.951,1.002,0,14.22,3.25," 7942 + 147 part ",227649,4308105,96329,96329,52920,52361,15,"15",30," 31 \\ \hline"
"60","SAMN03300680_assembled"," contigs ",167,81,60,56,46,30,4332800,4294722,4250423,4218963,4055559,3459352,99,236698,4307658,4349904,65.57,65.63,111897,111897,56742,53778,13,13,26,27,9,7,256374,15,0,0,0," 0 + 0 part ",0,98.834,1.002,0,10.03,1.65," 7960 + 159 part ",236698,4301973,111781,111781,56742,52477,13,"13",26," 27 \\ \hline"
"61","SAMN03300721_assembled"," contigs ",137,79,58,55,45,31,4313964,4290098,4241915,4218273,4068667,3548318,99,249113,4304250,4349904,65.57,65.63,121496,121496,59157,59157,13,13,26,26,5,5,350781,13,0,0,0," 0 + 1 part ",1021,98.719,1.002,0,19,3," 7946 + 139 part ",249113,4297306,121194,119326,53718,52361,13,"14",27," 28 \\ \hline"
"62","SAMN03300796_assembled"," contigs ",139,84,62,58,47,30,4316263,4293154,4245728,4211988,4028453,3403733,99,292479,4303657,4349904,65.57,65.63,109788,109788,58418,52598,13,13,27,28,3,3,236361,14,0,0,0," 0 + 0 part ",0,98.738,1.002,0,14.16,2.4," 7930 + 161 part ",292267,4297922,98890,96377,52598,52361,13,"14",29," 30 \\ \hline"
"63","SAMN03300843_assembled"," contigs ",145,82,61,58,46,30,4327345,4300929,4254184,4235069,4034145,3438641,99,243999,4312388,4349904,65.58,65.63,107864,107864,58243,58243,13,13,27,27,10,9,899218,14,0,0,0," 0 + 3 part ",5594,98.823,1.002,0,23.8,3.63," 7940 + 165 part ",243999,4301900,96603,96603,51050,48675,14,"14",30," 31 \\ \hline"
"64","SAMN06252322_assembled"," contigs ",205,83,62,55,47,34,4331222,4300327,4256986,4207201,4058855,3618390,99,290576,4312010,4349904,65.62,65.63,98672,98672,62675,62675,14,14,28,28,1,1,290576,4,0,0,0," 0 + 1 part ",553,99.089,1,0,4.62,1.37," 7990 + 101 part ",281677,4311224,96242,96242,61149,61149,15,"15",29," 29 \\ \hline"
"65","SAMN03300057_assembled"," contigs ",140,85,66,65,48,28,4313922,4289724,4257304,4251908,3989850,3244148,100,224930,4300956,4349904,65.57,65.63,102131,102131,50363,48688,14,14,28,29,3,3,140249,19,0,0,0," 0 + 0 part ",0,98.73,1.001,0,14.2,2.17," 7912 + 171 part ",224930,4295771,99939,99939,48676,47594,14,"14",29," 30 \\ \hline"
"66","SAMN03300527_assembled"," contigs ",126,87,64,59,47,31,4322044,4303337,4263891,4225439,4025052,3406340,100,236698,4312749,4349904,65.58,65.63,107451,103439,52531,52477,13,14,28,29,9,7,233873,13,0,0,0," 0 + 0 part ",0,98.977,1.002,0,9.64,1.63," 7952 + 163 part ",236698,4308270,101940,101940,52328,51213,14,"14",29," 30 \\ \hline"
"67","SAMN03300629_assembled"," contigs ",170,80,61,57,47,27,4326298,4285753,4249090,4218591,4059612,3306231,100,235980,4300219,4349904,65.56,65.63,106264,104998,56733,52477,12,13,26,27,6,4,301232,17,0,0,0," 1 + 0 part ",500,98.708,1.001,0,14.07,2.17," 7926 + 157 part ",235980,4295826,101487,101487,48675,48675,13,"13",29," 29 \\ \hline"
"68","SAMN06252084_assembled"," contigs ",207,83,63,56,49,36,4322512,4290185,4247972,4198652,4071957,3629682,100,281677,4302452,4349904,65.61,65.63,96242,96242,61147,60576,15,15,29,30,1,1,184177,2,0,0,0," 0 + 0 part ",0,98.887,1,0,4.42,1.33," 7962 + 101 part ",281677,4302304,96233,96233,61139,60576,16,"16",30," 31 \\ \hline"
